pair_id,pair_type,corruption_type,affected_time_span_exists,affected_region_exists,affected_mask_exists,affected_time_span,affected_region,affected_mask_path,localdpo_complete_spatial_mask,current_localdpo_level
protocol_v1_A_023_02222_collision_orbit_right_64_seed41222_wrong_camera_motion_local,local_corruption,wrong_camera_motion_local,True,True,True,"{'future_end_index': 75, 'future_start_index': 0, 'raw_frame_end': 80, 'raw_frame_start': 5}","{'x0': 0, 'x1': 299, 'y0': 0, 'y1': 480}",local_assets/dpo_preference_protocol_v1/local_corruptions/protocol_v1_A_023_02222_collision_orbit_right_64_seed41222_wrong_camera_motion_local/affected_mask.png,True,spatial_region
protocol_v1_A_027_02222_collision_orbit_right_64_seed41222_partial_freeze,local_corruption,partial_freeze,True,True,True,"{'future_end_index': 75, 'future_start_index': 22, 'raw_frame_end': 80, 'raw_frame_start': 27}","{'x0': 282, 'x1': 549, 'y0': 144, 'y1': 336}",local_assets/dpo_preference_protocol_v1/local_corruptions/protocol_v1_A_027_02222_collision_orbit_right_64_seed41222_partial_freeze/affected_mask.png,True,spatial_region
protocol_v1_A_028_02222_collision_orbit_right_64_seed41222_physical_event_local_failure,local_corruption,physical_event_local_failure,True,True,True,"{'future_end_index': 57, 'future_start_index': 19, 'raw_frame_end': 62, 'raw_frame_start': 24}","{'x0': 249, 'x1': 599, 'y0': 172, 'y1': 345}",local_assets/dpo_preference_protocol_v1/local_corruptions/protocol_v1_A_028_02222_collision_orbit_right_64_seed41222_physical_event_local_failure/affected_mask.png,True,spatial_region
protocol_v1_A_029_02222_collision_orbit_right_64_seed41222_background_drift_local,local_corruption,background_drift_local,True,True,True,"{'future_end_index': 75, 'future_start_index': 0, 'raw_frame_end': 80, 'raw_frame_start': 5}","{'x0': 0, 'x1': 299, 'y0': 0, 'y1': 480}",local_assets/dpo_preference_protocol_v1/local_corruptions/protocol_v1_A_029_02222_collision_orbit_right_64_seed41222_background_drift_local/affected_mask.png,True,spatial_region
protocol_v1_A_030_02222_collision_orbit_right_64_seed41222_wrong_camera_motion_local,local_corruption,wrong_camera_motion_local,True,True,True,"{'future_end_index': 75, 'future_start_index': 0, 'raw_frame_end': 80, 'raw_frame_start': 5}","{'x0': 0, 'x1': 299, 'y0': 0, 'y1': 480}",local_assets/dpo_preference_protocol_v1/local_corruptions/protocol_v1_A_030_02222_collision_orbit_right_64_seed41222_wrong_camera_motion_local/affected_mask.png,True,spatial_region
protocol_v1_A_031_02222_collision_orbit_right_64_seed41222_object_deformation_local,local_corruption,object_deformation_local,True,True,True,"{'future_end_index': 75, 'future_start_index': 0, 'raw_frame_end': 80, 'raw_frame_start': 5}","{'x0': 282, 'x1': 549, 'y0': 144, 'y1': 336}",local_assets/dpo_preference_protocol_v1/local_corruptions/protocol_v1_A_031_02222_collision_orbit_right_64_seed41222_object_deformation_local/affected_mask.png,True,spatial_region
protocol_v1_A_032_02222_collision_orbit_right_64_seed41222_object_identity_change_local,local_corruption,object_identity_change_local,True,True,True,"{'future_end_index': 75, 'future_start_index': 0, 'raw_frame_end': 80, 'raw_frame_start': 5}","{'x0': 282, 'x1': 549, 'y0': 144, 'y1': 336}",local_assets/dpo_preference_protocol_v1/local_corruptions/protocol_v1_A_032_02222_collision_orbit_right_64_seed41222_object_identity_change_local/affected_mask.png,True,spatial_region
protocol_v1_A_033_02222_collision_orbit_right_64_seed41222_reobserve_mismatch_local,local_corruption,reobserve_mismatch_local,True,True,True,"{'future_end_index': 75, 'future_start_index': 41, 'raw_frame_end': 80, 'raw_frame_start': 46}","{'x0': 0, 'x1': 299, 'y0': 0, 'y1': 480}",local_assets/dpo_preference_protocol_v1/local_corruptions/protocol_v1_A_033_02222_collision_orbit_right_64_seed41222_reobserve_mismatch_local/affected_mask.png,True,spatial_region
protocol_v1_A_034_02226_collision_orbit_right_64_seed41226_partial_freeze,local_corruption,partial_freeze,True,True,True,"{'future_end_index': 75, 'future_start_index': 22, 'raw_frame_end': 80, 'raw_frame_start': 27}","{'x0': 282, 'x1': 549, 'y0': 144, 'y1': 336}",local_assets/dpo_preference_protocol_v1/local_corruptions/protocol_v1_A_034_02226_collision_orbit_right_64_seed41226_partial_freeze/affected_mask.png,True,spatial_region
protocol_v1_A_037_02226_collision_orbit_right_64_seed41226_wrong_camera_motion_local,local_corruption,wrong_camera_motion_local,True,True,True,"{'future_end_index': 75, 'future_start_index': 0, 'raw_frame_end': 80, 'raw_frame_start': 5}","{'x0': 0, 'x1': 299, 'y0': 0, 'y1': 480}",local_assets/dpo_preference_protocol_v1/local_corruptions/protocol_v1_A_037_02226_collision_orbit_right_64_seed41226_wrong_camera_motion_local/affected_mask.png,True,spatial_region
protocol_v1_A_038_02226_collision_orbit_right_64_seed41226_object_deformation_local,local_corruption,object_deformation_local,True,True,True,"{'future_end_index': 75, 'future_start_index': 0, 'raw_frame_end': 80, 'raw_frame_start': 5}","{'x0': 282, 'x1': 549, 'y0': 144, 'y1': 336}",local_assets/dpo_preference_protocol_v1/local_corruptions/protocol_v1_A_038_02226_collision_orbit_right_64_seed41226_object_deformation_local/affected_mask.png,True,spatial_region
protocol_v1_A_039_02226_collision_orbit_right_64_seed41226_object_identity_change_local,local_corruption,object_identity_change_local,True,True,True,"{'future_end_index': 75, 'future_start_index': 0, 'raw_frame_end': 80, 'raw_frame_start': 5}","{'x0': 282, 'x1': 549, 'y0': 144, 'y1': 336}",local_assets/dpo_preference_protocol_v1/local_corruptions/protocol_v1_A_039_02226_collision_orbit_right_64_seed41226_object_identity_change_local/affected_mask.png,True,spatial_region
protocol_v1_A_041_02226_collision_orbit_right_64_seed41226_partial_freeze,local_corruption,partial_freeze,True,True,True,"{'future_end_index': 75, 'future_start_index': 22, 'raw_frame_end': 80, 'raw_frame_start': 27}","{'x0': 282, 'x1': 549, 'y0': 144, 'y1': 336}",local_assets/dpo_preference_protocol_v1/local_corruptions/protocol_v1_A_041_02226_collision_orbit_right_64_seed41226_partial_freeze/affected_mask.png,True,spatial_region
protocol_v1_A_042_02226_collision_orbit_right_64_seed41226_physical_event_local_failure,local_corruption,physical_event_local_failure,True,True,True,"{'future_end_index': 57, 'future_start_index': 19, 'raw_frame_end': 62, 'raw_frame_start': 24}","{'x0': 249, 'x1': 599, 'y0': 172, 'y1': 345}",local_assets/dpo_preference_protocol_v1/local_corruptions/protocol_v1_A_042_02226_collision_orbit_right_64_seed41226_physical_event_local_failure/affected_mask.png,True,spatial_region
protocol_v1_A_044_02226_collision_orbit_right_64_seed41226_wrong_camera_motion_local,local_corruption,wrong_camera_motion_local,True,True,True,"{'future_end_index': 75, 'future_start_index': 0, 'raw_frame_end': 80, 'raw_frame_start': 5}","{'x0': 0, 'x1': 299, 'y0': 0, 'y1': 480}",local_assets/dpo_preference_protocol_v1/local_corruptions/protocol_v1_A_044_02226_collision_orbit_right_64_seed41226_wrong_camera_motion_local/affected_mask.png,True,spatial_region
protocol_v1_A_046_04204_containment_orbit_left_44_seed43204_object_identity_change_local,local_corruption,object_identity_change_local,True,True,True,"{'future_end_index': 75, 'future_start_index': 0, 'raw_frame_end': 80, 'raw_frame_start': 5}","{'x0': 282, 'x1': 549, 'y0': 144, 'y1': 336}",local_assets/dpo_preference_protocol_v1/local_corruptions/protocol_v1_A_046_04204_containment_orbit_left_44_seed43204_object_identity_change_local/affected_mask.png,True,spatial_region
protocol_v1_A_048_04204_containment_orbit_left_44_seed43204_partial_freeze,local_corruption,partial_freeze,True,True,True,"{'future_end_index': 75, 'future_start_index': 22, 'raw_frame_end': 80, 'raw_frame_start': 27}","{'x0': 282, 'x1': 549, 'y0': 144, 'y1': 336}",local_assets/dpo_preference_protocol_v1/local_corruptions/protocol_v1_A_048_04204_containment_orbit_left_44_seed43204_partial_freeze/affected_mask.png,True,spatial_region
protocol_v1_A_049_04204_containment_orbit_left_44_seed43204_physical_event_local_failure,local_corruption,physical_event_local_failure,True,True,True,"{'future_end_index': 57, 'future_start_index': 19, 'raw_frame_end': 62, 'raw_frame_start': 24}","{'x0': 249, 'x1': 599, 'y0': 172, 'y1': 345}",local_assets/dpo_preference_protocol_v1/local_corruptions/protocol_v1_A_049_04204_containment_orbit_left_44_seed43204_physical_event_local_failure/affected_mask.png,True,spatial_region
protocol_v1_A_050_04204_containment_orbit_left_44_seed43204_background_drift_local,local_corruption,background_drift_local,True,True,True,"{'future_end_index': 75, 'future_start_index': 0, 'raw_frame_end': 80, 'raw_frame_start': 5}","{'x0': 0, 'x1': 299, 'y0': 0, 'y1': 480}",local_assets/dpo_preference_protocol_v1/local_corruptions/protocol_v1_A_050_04204_containment_orbit_left_44_seed43204_background_drift_local/affected_mask.png,True,spatial_region
