pair_id,condition_id,pair_type,source,failure_type,template,camera_motion,winner_visual_quality,loser_visual_quality,background_stability_winner,background_stability_loser,camera_following_winner,camera_following_loser,foreground_identity_winner,foreground_identity_loser,object_deformation_winner,object_deformation_loser,physical_event_winner,physical_event_loser,reobserve_winner,reobserve_loser,too_subtle,too_artificial,too_easy,too_hard,too_blurry,too_collapsed,winner_bad,medium_hard,human_visible,is_dpo_ready,written_reason,reviewer,reviewed,contact_sheet_path
v6b_GT_C_012_02284_collision_orbit_right_64_seed41284,v6b_02284_collision_orbit_right_64_seed41284,GT_C,,collision_extra_objects,collision,orbit_right_64,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=collision_extra_objects, reward_margin=0.217, sharpness_ratio=0.110.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_012_02284_collision_orbit_right_64_seed41284.jpg
v6b_GT_C_013_03435_roll_orbit_right_60_seed42435,v6b_03435_roll_orbit_right_60_seed42435,GT_C,,roll_identity_event,roll,orbit_right_60,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=roll_identity_event, reward_margin=0.167, sharpness_ratio=0.133.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_013_03435_roll_orbit_right_60_seed42435.jpg
v6b_GT_C_014_03437_roll_orbit_right_60_seed42437,v6b_03437_roll_orbit_right_60_seed42437,GT_C,,roll_identity_event,roll,orbit_right_60,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=roll_identity_event, reward_margin=0.142, sharpness_ratio=0.151.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_014_03437_roll_orbit_right_60_seed42437.jpg
v6b_GT_C_015_04248_containment_orbit_left_44_seed43248,v6b_04248_containment_orbit_left_44_seed43248,GT_C,,containment_extra_objects,containment,orbit_left_44,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=containment_extra_objects, reward_margin=0.183, sharpness_ratio=0.162.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_015_04248_containment_orbit_left_44_seed43248.jpg
v6b_GT_C_016_04249_containment_orbit_left_44_seed43249,v6b_04249_containment_orbit_left_44_seed43249,GT_C,,containment_extra_objects,containment,orbit_left_44,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=containment_extra_objects, reward_margin=0.207, sharpness_ratio=0.275.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_016_04249_containment_orbit_left_44_seed43249.jpg
protocol_v4_TypeAplus_022_s4_strong_pass_object_identity_change_local,02222_collision_orbit_right_64_seed41222,TypeA_plus,,object_identity_change_local,collision,,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=object_identity_change_local, reward_margin=0.120, sharpness_ratio=0.851.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/protocol_v4_TypeAplus_022_s4_strong_pass_object_identity_change_local.jpg
protocol_v4_TypeAplus_024_s4_strong_pass_partial_freeze,02226_collision_orbit_right_64_seed41226,TypeA_plus,,partial_freeze,collision,,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=partial_freeze, reward_margin=0.120, sharpness_ratio=0.880.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/protocol_v4_TypeAplus_024_s4_strong_pass_partial_freeze.jpg
protocol_v4_TypeAplus_028_s4_strong_pass_partial_freeze,02226_collision_orbit_right_64_seed41226,TypeA_plus,,partial_freeze,collision,,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=partial_freeze, reward_margin=0.120, sharpness_ratio=0.880.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/protocol_v4_TypeAplus_028_s4_strong_pass_partial_freeze.jpg
v10_TypeM_002_02202_collision_orbit_right_64_seed41202_local_patch_drift,02202_collision_orbit_right_64_seed41202,TypeM_v10_synthetic_visible,,local_patch_drift,collision,orbit_right_64,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=local_patch_drift, reward_margin=0.120, sharpness_ratio=1.002.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_002_02202_collision_orbit_right_64_seed41202_local_patch_drift.jpg
v10_TypeM_003_02215_collision_strafe_left_180_seed41215_foreground_identity_color_shift,02215_collision_strafe_left_180_seed41215,TypeM_v10_synthetic_visible,,foreground_identity_color_shift,collision,strafe_left_180,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=foreground_identity_color_shift, reward_margin=0.177, sharpness_ratio=1.032.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_003_02215_collision_strafe_left_180_seed41215_foreground_identity_color_shift.jpg
v10_TypeM_004_02222_collision_orbit_right_64_seed41222_local_temporal_jump,02222_collision_orbit_right_64_seed41222,TypeM_v10_synthetic_visible,,local_temporal_jump,collision,orbit_right_64,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=local_temporal_jump, reward_margin=0.153, sharpness_ratio=1.042.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_004_02222_collision_orbit_right_64_seed41222_local_temporal_jump.jpg
v10_TypeM_005_02226_collision_orbit_right_64_seed41226_local_patch_freeze,02226_collision_orbit_right_64_seed41226,TypeM_v10_synthetic_visible,,local_patch_freeze,collision,orbit_right_64,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=local_patch_freeze, reward_margin=0.185, sharpness_ratio=1.013.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_005_02226_collision_orbit_right_64_seed41226_local_patch_freeze.jpg
v10_TypeM_006_02228_collision_orbit_right_64_seed41228_local_patch_drift,02228_collision_orbit_right_64_seed41228,TypeM_v10_synthetic_visible,,local_patch_drift,collision,orbit_right_64,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=local_patch_drift, reward_margin=0.152, sharpness_ratio=0.995.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_006_02228_collision_orbit_right_64_seed41228_local_patch_drift.jpg
v10_TypeM_007_02239_collision_strafe_left_180_seed41239_foreground_identity_color_shift,02239_collision_strafe_left_180_seed41239,TypeM_v10_synthetic_visible,,foreground_identity_color_shift,collision,strafe_left_180,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=foreground_identity_color_shift, reward_margin=0.266, sharpness_ratio=0.991.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_007_02239_collision_strafe_left_180_seed41239_foreground_identity_color_shift.jpg
v10_TypeM_009_02262_collision_orbit_right_64_seed41262_local_patch_freeze,02262_collision_orbit_right_64_seed41262,TypeM_v10_synthetic_visible,,local_patch_freeze,collision,orbit_right_64,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=local_patch_freeze, reward_margin=0.140, sharpness_ratio=0.994.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_009_02262_collision_orbit_right_64_seed41262_local_patch_freeze.jpg
v10_TypeM_010_02276_collision_orbit_right_64_seed41276_local_patch_drift,02276_collision_orbit_right_64_seed41276,TypeM_v10_synthetic_visible,,local_patch_drift,collision,orbit_right_64,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=local_patch_drift, reward_margin=0.120, sharpness_ratio=0.993.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_010_02276_collision_orbit_right_64_seed41276_local_patch_drift.jpg
v10_TypeM_011_02284_collision_orbit_right_64_seed41284_foreground_identity_color_shift,02284_collision_orbit_right_64_seed41284,TypeM_v10_synthetic_visible,,foreground_identity_color_shift,collision,orbit_right_64,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=foreground_identity_color_shift, reward_margin=0.277, sharpness_ratio=1.004.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_011_02284_collision_orbit_right_64_seed41284_foreground_identity_color_shift.jpg
v10_TypeM_013_02288_collision_orbit_right_64_seed41288_local_patch_freeze,02288_collision_orbit_right_64_seed41288,TypeM_v10_synthetic_visible,,local_patch_freeze,collision,orbit_right_64,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=local_patch_freeze, reward_margin=0.122, sharpness_ratio=0.986.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_013_02288_collision_orbit_right_64_seed41288_local_patch_freeze.jpg
v10_TypeM_015_02295_collision_strafe_left_180_seed41295_foreground_identity_color_shift,02295_collision_strafe_left_180_seed41295,TypeM_v10_synthetic_visible,,foreground_identity_color_shift,collision,strafe_left_180,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=foreground_identity_color_shift, reward_margin=0.220, sharpness_ratio=1.083.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_015_02295_collision_strafe_left_180_seed41295_foreground_identity_color_shift.jpg
v10_TypeM_016_02327_collision_strafe_left_180_seed41327_local_temporal_jump,02327_collision_strafe_left_180_seed41327,TypeM_v10_synthetic_visible,,local_temporal_jump,collision,strafe_left_180,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=local_temporal_jump, reward_margin=0.174, sharpness_ratio=1.063.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_016_02327_collision_strafe_left_180_seed41327_local_temporal_jump.jpg
v10_TypeM_017_02328_collision_orbit_right_64_seed41328_local_patch_freeze,02328_collision_orbit_right_64_seed41328,TypeM_v10_synthetic_visible,,local_patch_freeze,collision,orbit_right_64,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=local_patch_freeze, reward_margin=0.148, sharpness_ratio=1.089.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_017_02328_collision_orbit_right_64_seed41328_local_patch_freeze.jpg
v10_TypeM_018_02353_collision_strafe_left_180_seed41353_local_patch_drift,02353_collision_strafe_left_180_seed41353,TypeM_v10_synthetic_visible,,local_patch_drift,collision,strafe_left_180,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=local_patch_drift, reward_margin=0.207, sharpness_ratio=1.043.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_018_02353_collision_strafe_left_180_seed41353_local_patch_drift.jpg
v10_TypeM_019_02360_collision_orbit_right_64_seed41360_foreground_identity_color_shift,02360_collision_orbit_right_64_seed41360,TypeM_v10_synthetic_visible,,foreground_identity_color_shift,collision,orbit_right_64,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=foreground_identity_color_shift, reward_margin=0.211, sharpness_ratio=0.997.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_019_02360_collision_orbit_right_64_seed41360_foreground_identity_color_shift.jpg
v10_TypeM_023_prefix5_anchored_1128e39109fc83_object_deformation_foreground_identity_color_shift,prefix5_anchored_1128e39109fc83_object_deformation,TypeM_v10_synthetic_visible,,foreground_identity_color_shift,collision,orbit_right_64,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=foreground_identity_color_shift, reward_margin=0.291, sharpness_ratio=1.040.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_023_prefix5_anchored_1128e39109fc83_object_deformation_foreground_identity_color_shift.jpg
v10_TypeM_026_prefix5_anchored_525c18bc4422f0_background_drift_local_patch_drift,prefix5_anchored_525c18bc4422f0_background_drift,TypeM_v10_synthetic_visible,,local_patch_drift,collision,orbit_right_64,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=local_patch_drift, reward_margin=0.148, sharpness_ratio=1.026.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_026_prefix5_anchored_525c18bc4422f0_background_drift_local_patch_drift.jpg
v10_TypeM_027_prefix5_anchored_7f708dfe212ad6_freeze_foreground_foreground_identity_color_shift,prefix5_anchored_7f708dfe212ad6_freeze_foreground,TypeM_v10_synthetic_visible,,foreground_identity_color_shift,collision,orbit_right_64,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=foreground_identity_color_shift, reward_margin=0.238, sharpness_ratio=1.045.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_027_prefix5_anchored_7f708dfe212ad6_freeze_foreground_foreground_identity_color_shift.jpg
v10_TypeM_031_prefix5_anchored_ede413792fce8b_nonrigid_background_warp_foreground_identity_color_shift,prefix5_anchored_ede413792fce8b_nonrigid_background_warp,TypeM_v10_synthetic_visible,,foreground_identity_color_shift,collision,orbit_right_64,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=foreground_identity_color_shift, reward_margin=0.238, sharpness_ratio=1.030.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_031_prefix5_anchored_ede413792fce8b_nonrigid_background_warp_foreground_identity_color_shift.jpg
v10_TypeM_035_v6_02222_collision_orbit_right_64_seed41222_foreground_identity_color_shift,v6_02222_collision_orbit_right_64_seed41222,TypeM_v10_synthetic_visible,,foreground_identity_color_shift,collision,orbit_right_64,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=foreground_identity_color_shift, reward_margin=0.256, sharpness_ratio=1.015.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_035_v6_02222_collision_orbit_right_64_seed41222_foreground_identity_color_shift.jpg
v10_TypeM_036_v6_02226_collision_orbit_right_64_seed41226_local_temporal_jump,v6_02226_collision_orbit_right_64_seed41226,TypeM_v10_synthetic_visible,,local_temporal_jump,collision,orbit_right_64,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=local_temporal_jump, reward_margin=0.152, sharpness_ratio=1.034.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_036_v6_02226_collision_orbit_right_64_seed41226_local_temporal_jump.jpg
v10_TypeM_037_04204_containment_orbit_left_44_seed43204_local_patch_freeze,04204_containment_orbit_left_44_seed43204,TypeM_v10_synthetic_visible,,local_patch_freeze,containment,orbit_left_44,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=local_patch_freeze, reward_margin=0.120, sharpness_ratio=1.001.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_037_04204_containment_orbit_left_44_seed43204_local_patch_freeze.jpg
v10_TypeM_038_04209_containment_orbit_left_44_seed43209_local_patch_drift,04209_containment_orbit_left_44_seed43209,TypeM_v10_synthetic_visible,,local_patch_drift,containment,orbit_left_44,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=local_patch_drift, reward_margin=0.137, sharpness_ratio=0.997.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_038_04209_containment_orbit_left_44_seed43209_local_patch_drift.jpg
v10_TypeM_039_04214_containment_orbit_left_44_seed43214_foreground_identity_color_shift,04214_containment_orbit_left_44_seed43214,TypeM_v10_synthetic_visible,,foreground_identity_color_shift,containment,orbit_left_44,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=foreground_identity_color_shift, reward_margin=0.352, sharpness_ratio=0.997.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_039_04214_containment_orbit_left_44_seed43214_foreground_identity_color_shift.jpg
v10_TypeM_040_04228_containment_orbit_left_44_seed43228_local_temporal_jump,04228_containment_orbit_left_44_seed43228,TypeM_v10_synthetic_visible,,local_temporal_jump,containment,orbit_left_44,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=local_temporal_jump, reward_margin=0.245, sharpness_ratio=1.008.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_040_04228_containment_orbit_left_44_seed43228_local_temporal_jump.jpg
v10_TypeM_042_04248_containment_orbit_left_44_seed43248_local_patch_drift,04248_containment_orbit_left_44_seed43248,TypeM_v10_synthetic_visible,,local_patch_drift,containment,orbit_left_44,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=local_patch_drift, reward_margin=0.169, sharpness_ratio=0.991.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_042_04248_containment_orbit_left_44_seed43248_local_patch_drift.jpg
v10_TypeM_043_04249_containment_orbit_left_44_seed43249_foreground_identity_color_shift,04249_containment_orbit_left_44_seed43249,TypeM_v10_synthetic_visible,,foreground_identity_color_shift,containment,orbit_left_44,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=foreground_identity_color_shift, reward_margin=0.250, sharpness_ratio=1.060.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_043_04249_containment_orbit_left_44_seed43249_foreground_identity_color_shift.jpg
v10_TypeM_044_04252_containment_orbit_left_44_seed43252_local_temporal_jump,04252_containment_orbit_left_44_seed43252,TypeM_v10_synthetic_visible,,local_temporal_jump,containment,orbit_left_44,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=local_temporal_jump, reward_margin=0.170, sharpness_ratio=0.998.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_044_04252_containment_orbit_left_44_seed43252_local_temporal_jump.jpg
v10_TypeM_045_04260_containment_orbit_left_44_seed43260_local_patch_freeze,04260_containment_orbit_left_44_seed43260,TypeM_v10_synthetic_visible,,local_patch_freeze,containment,orbit_left_44,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=local_patch_freeze, reward_margin=0.224, sharpness_ratio=0.995.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_045_04260_containment_orbit_left_44_seed43260_local_patch_freeze.jpg
v10_TypeM_046_04267_containment_orbit_left_44_seed43267_local_patch_drift,04267_containment_orbit_left_44_seed43267,TypeM_v10_synthetic_visible,,local_patch_drift,containment,orbit_left_44,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=local_patch_drift, reward_margin=0.165, sharpness_ratio=1.011.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_046_04267_containment_orbit_left_44_seed43267_local_patch_drift.jpg
