pair_id,pair_source,pair_type,failure_type,blocker_reasons,missing_fields
v10_TypeM_004_02222_collision_orbit_right_64_seed41222_local_temporal_jump,synthetic_controlled,TypeM_v10_synthetic_visible,local_temporal_jump,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_003_02215_collision_strafe_left_180_seed41215_foreground_identity_color_shift,synthetic_controlled,TypeM_v10_synthetic_visible,foreground_identity_color_shift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_002_02202_collision_orbit_right_64_seed41202_local_patch_drift,synthetic_controlled,TypeM_v10_synthetic_visible,local_patch_drift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_005_02226_collision_orbit_right_64_seed41226_local_patch_freeze,synthetic_controlled,TypeM_v10_synthetic_visible,local_patch_freeze,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_016_02327_collision_strafe_left_180_seed41327_local_temporal_jump,synthetic_controlled,TypeM_v10_synthetic_visible,local_temporal_jump,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_007_02239_collision_strafe_left_180_seed41239_foreground_identity_color_shift,synthetic_controlled,TypeM_v10_synthetic_visible,foreground_identity_color_shift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_006_02228_collision_orbit_right_64_seed41228_local_patch_drift,synthetic_controlled,TypeM_v10_synthetic_visible,local_patch_drift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_009_02262_collision_orbit_right_64_seed41262_local_patch_freeze,synthetic_controlled,TypeM_v10_synthetic_visible,local_patch_freeze,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_040_04228_containment_orbit_left_44_seed43228_local_temporal_jump,synthetic_controlled,TypeM_v10_synthetic_visible,local_temporal_jump,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_011_02284_collision_orbit_right_64_seed41284_foreground_identity_color_shift,synthetic_controlled,TypeM_v10_synthetic_visible,foreground_identity_color_shift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_010_02276_collision_orbit_right_64_seed41276_local_patch_drift,synthetic_controlled,TypeM_v10_synthetic_visible,local_patch_drift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_013_02288_collision_orbit_right_64_seed41288_local_patch_freeze,synthetic_controlled,TypeM_v10_synthetic_visible,local_patch_freeze,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_044_04252_containment_orbit_left_44_seed43252_local_temporal_jump,synthetic_controlled,TypeM_v10_synthetic_visible,local_temporal_jump,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_015_02295_collision_strafe_left_180_seed41295_foreground_identity_color_shift,synthetic_controlled,TypeM_v10_synthetic_visible,foreground_identity_color_shift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_018_02353_collision_strafe_left_180_seed41353_local_patch_drift,synthetic_controlled,TypeM_v10_synthetic_visible,local_patch_drift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_017_02328_collision_orbit_right_64_seed41328_local_patch_freeze,synthetic_controlled,TypeM_v10_synthetic_visible,local_patch_freeze,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_048_04280_containment_orbit_left_44_seed43280_local_temporal_jump,synthetic_controlled,TypeM_v10_synthetic_visible,local_temporal_jump,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_019_02360_collision_orbit_right_64_seed41360_foreground_identity_color_shift,synthetic_controlled,TypeM_v10_synthetic_visible,foreground_identity_color_shift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_038_04209_containment_orbit_left_44_seed43209_local_patch_drift,synthetic_controlled,TypeM_v10_synthetic_visible,local_patch_drift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_037_04204_containment_orbit_left_44_seed43204_local_patch_freeze,synthetic_controlled,TypeM_v10_synthetic_visible,local_patch_freeze,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_052_04346_containment_orbit_left_44_seed43346_local_temporal_jump,synthetic_controlled,TypeM_v10_synthetic_visible,local_temporal_jump,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v11_SYN_EXTRA_0018_02226_collision_orbit_right_64_seed41226_object_deformation_visible,synthetic_controlled,TypeM_v11_synthetic_visible,object_deformation_visible,prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable
v10_TypeM_039_04214_containment_orbit_left_44_seed43214_foreground_identity_color_shift,synthetic_controlled,TypeM_v10_synthetic_visible,foreground_identity_color_shift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_042_04248_containment_orbit_left_44_seed43248_local_patch_drift,synthetic_controlled,TypeM_v10_synthetic_visible,local_patch_drift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_045_04260_containment_orbit_left_44_seed43260_local_patch_freeze,synthetic_controlled,TypeM_v10_synthetic_visible,local_patch_freeze,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_056_04358_containment_orbit_left_44_seed43358_local_temporal_jump,synthetic_controlled,TypeM_v10_synthetic_visible,local_temporal_jump,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v11_SYN_0008_02202_collision_orbit_right_64_seed41202_object_deformation_visible,synthetic_controlled,TypeM_v11_synthetic_visible,object_deformation_visible,prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable
v10_TypeM_043_04249_containment_orbit_left_44_seed43249_foreground_identity_color_shift,synthetic_controlled,TypeM_v10_synthetic_visible,foreground_identity_color_shift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_046_04267_containment_orbit_left_44_seed43267_local_patch_drift,synthetic_controlled,TypeM_v10_synthetic_visible,local_patch_drift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_049_04302_containment_orbit_left_44_seed43302_local_patch_freeze,synthetic_controlled,TypeM_v10_synthetic_visible,local_patch_freeze,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_060_prefix5_anchored_d744c2d6f264ba_object_deformation_local_temporal_jump,synthetic_controlled,TypeM_v10_synthetic_visible,local_temporal_jump,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v11_SYN_EXTRA_0094_prefix5_anchored_1ca3412d8f73c8_nonrigid_background_warp_object_deformation_visible,synthetic_controlled,TypeM_v11_synthetic_visible,object_deformation_visible,prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable
v10_TypeM_047_04279_containment_orbit_left_44_seed43279_foreground_identity_color_shift,synthetic_controlled,TypeM_v10_synthetic_visible,foreground_identity_color_shift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_050_04339_containment_orbit_left_44_seed43339_local_patch_drift,synthetic_controlled,TypeM_v10_synthetic_visible,local_patch_drift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_053_04351_containment_orbit_left_44_seed43351_local_patch_freeze,synthetic_controlled,TypeM_v10_synthetic_visible,local_patch_freeze,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_036_v6_02226_collision_orbit_right_64_seed41226_local_temporal_jump,synthetic_controlled,TypeM_v10_synthetic_visible,local_temporal_jump,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v11_SYN_0146_prefix5_anchored_3e28b01a2ca2ef_reobserve_mismatch_object_deformation_visible,synthetic_controlled,TypeM_v11_synthetic_visible,object_deformation_visible,prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable
v10_TypeM_051_04342_containment_orbit_left_44_seed43342_foreground_identity_color_shift,synthetic_controlled,TypeM_v10_synthetic_visible,foreground_identity_color_shift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_054_04355_containment_orbit_left_44_seed43355_local_patch_drift,synthetic_controlled,TypeM_v10_synthetic_visible,local_patch_drift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_057_prefix5_anchored_1279c3b65a6d9e_object_identity_change_local_patch_freeze,synthetic_controlled,TypeM_v10_synthetic_visible,local_patch_freeze,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_080_v6b_GT_C_001_01014_drop_orbit_left_72_seed40014_local_temporal_jump,synthetic_controlled,TypeM_v10_synthetic_visible,local_temporal_jump,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v11_SYN_EXTRA_0102_prefix5_anchored_525c18bc4422f0_background_drift_object_deformation_visible,synthetic_controlled,TypeM_v11_synthetic_visible,object_deformation_visible,prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable
v10_TypeM_055_04357_containment_orbit_left_44_seed43357_foreground_identity_color_shift,synthetic_controlled,TypeM_v10_synthetic_visible,foreground_identity_color_shift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_058_prefix5_anchored_29df7c5cf94c4b_reobserve_mismatch_local_patch_drift,synthetic_controlled,TypeM_v10_synthetic_visible,local_patch_drift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_061_prefix5_anchored_d86ae2fb1d25b2_freeze_foreground_local_patch_freeze,synthetic_controlled,TypeM_v10_synthetic_visible,local_patch_freeze,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v11_SYN_0194_v6_02200_collision_orbit_right_64_seed41200_object_deformation_visible,synthetic_controlled,TypeM_v11_synthetic_visible,object_deformation_visible,prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable
v10_TypeM_023_prefix5_anchored_1128e39109fc83_object_deformation_foreground_identity_color_shift,synthetic_controlled,TypeM_v10_synthetic_visible,foreground_identity_color_shift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_026_prefix5_anchored_525c18bc4422f0_background_drift_local_patch_drift,synthetic_controlled,TypeM_v10_synthetic_visible,local_patch_drift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v11_SYN_0212_v6_02226_collision_orbit_right_64_seed41226_object_deformation_visible,synthetic_controlled,TypeM_v11_synthetic_visible,object_deformation_visible,prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable
v10_TypeM_027_prefix5_anchored_7f708dfe212ad6_freeze_foreground_foreground_identity_color_shift,synthetic_controlled,TypeM_v10_synthetic_visible,foreground_identity_color_shift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_062_prefix5_anchored_dc458b2cf487d8_wrong_camera_motion_local_patch_drift,synthetic_controlled,TypeM_v10_synthetic_visible,local_patch_drift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_059_prefix5_anchored_95981b8f74bed0_background_drift_foreground_identity_color_shift,synthetic_controlled,TypeM_v10_synthetic_visible,foreground_identity_color_shift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v11_SYN_EXTRA_0095_prefix5_anchored_1ca3412d8f73c8_nonrigid_background_warp_object_duplicate_or_fragment,synthetic_controlled,TypeM_v11_synthetic_visible,object_duplicate_or_fragment,prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable
v10_TypeM_031_prefix5_anchored_ede413792fce8b_nonrigid_background_warp_foreground_identity_color_shift,synthetic_controlled,TypeM_v10_synthetic_visible,foreground_identity_color_shift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v11_SYN_EXTRA_0107_prefix5_anchored_7f708dfe212ad6_freeze_foreground_object_duplicate_or_fragment,synthetic_controlled,TypeM_v11_synthetic_visible,object_duplicate_or_fragment,prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable
v10_TypeM_035_v6_02222_collision_orbit_right_64_seed41222_foreground_identity_color_shift,synthetic_controlled,TypeM_v10_synthetic_visible,foreground_identity_color_shift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v11_SYN_EXTRA_0135_v6_02202_collision_orbit_right_64_seed41202_object_duplicate_or_fragment,synthetic_controlled,TypeM_v11_synthetic_visible,object_duplicate_or_fragment,prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable
v10_TypeM_063_v6_04204_containment_orbit_left_44_seed43204_foreground_identity_color_shift,synthetic_controlled,TypeM_v10_synthetic_visible,foreground_identity_color_shift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v11_SYN_0029_02226_collision_orbit_right_64_seed41226_background_drift_visible,synthetic_controlled,TypeM_v11_synthetic_visible,background_drift_visible,prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable
v11_SYN_0011_02202_collision_orbit_right_64_seed41202_background_drift_visible,synthetic_controlled,TypeM_v11_synthetic_visible,background_drift_visible,prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable
v11_SYN_0005_02200_collision_orbit_right_64_seed41200_background_drift_visible,synthetic_controlled,TypeM_v11_synthetic_visible,background_drift_visible,prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable
v11_SYN_0137_prefix5_anchored_1128e39109fc83_object_deformation_background_drift_visible,synthetic_controlled,TypeM_v11_synthetic_visible,background_drift_visible,prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable
v11_SYN_0149_prefix5_anchored_3e28b01a2ca2ef_reobserve_mismatch_background_drift_visible,synthetic_controlled,TypeM_v11_synthetic_visible,background_drift_visible,prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable
v11_SYN_0155_prefix5_anchored_525c18bc4422f0_background_drift_background_drift_visible,synthetic_controlled,TypeM_v11_synthetic_visible,background_drift_visible,prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable
v11_SYN_0167_prefix5_anchored_b53591379e11c1_object_deformation_background_drift_visible,synthetic_controlled,TypeM_v11_synthetic_visible,background_drift_visible,prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable
v11_SYN_0173_prefix5_anchored_e78653865b3413_wrong_camera_motion_background_drift_visible,synthetic_controlled,TypeM_v11_synthetic_visible,background_drift_visible,prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable
v11_SYN_0191_prefix5_anchored_ff65f1ae3e7ca8_background_drift_background_drift_visible,synthetic_controlled,TypeM_v11_synthetic_visible,background_drift_visible,prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable
v11_SYN_0019_02222_collision_orbit_right_64_seed41222_collision_response_failure_synthetic,synthetic_controlled,TypeM_v11_synthetic_visible,collision_response_failure_synthetic,prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable
v11_SYN_0217_04204_containment_orbit_left_44_seed43204_containment_failure_synthetic,synthetic_controlled,TypeM_v11_synthetic_visible,containment_failure_synthetic,prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable
v11_SYN_0197_v6_02200_collision_orbit_right_64_seed41200_background_drift_visible,synthetic_controlled,TypeM_v11_synthetic_visible,background_drift_visible,prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable
v11_SYN_EXTRA_0013_02222_collision_orbit_right_64_seed41222_collision_response_failure_synthetic,synthetic_controlled,TypeM_v11_synthetic_visible,collision_response_failure_synthetic,prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable
v11_SYN_EXTRA_0145_04204_containment_orbit_left_44_seed43204_containment_failure_synthetic,synthetic_controlled,TypeM_v11_synthetic_visible,containment_failure_synthetic,prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable
v11_SYN_0218_04204_containment_orbit_left_44_seed43204_reobserve_mismatch_visible,synthetic_controlled,TypeM_v11_synthetic_visible,reobserve_mismatch_visible,prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable
v11_SYN_0209_v6_02222_collision_orbit_right_64_seed41222_background_drift_visible,synthetic_controlled,TypeM_v11_synthetic_visible,background_drift_visible,prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable
v11_SYN_0025_02226_collision_orbit_right_64_seed41226_collision_response_failure_synthetic,synthetic_controlled,TypeM_v11_synthetic_visible,collision_response_failure_synthetic,prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable
v11_SYN_0337_prefix5_anchored_1279c3b65a6d9e_object_identity_change_containment_failure_synthetic,synthetic_controlled,TypeM_v11_synthetic_visible,containment_failure_synthetic,prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable
v11_SYN_EXTRA_0146_04204_containment_orbit_left_44_seed43204_reobserve_mismatch_visible,synthetic_controlled,TypeM_v11_synthetic_visible,reobserve_mismatch_visible,prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable
v11_SYN_0007_02202_collision_orbit_right_64_seed41202_collision_response_failure_synthetic,synthetic_controlled,TypeM_v11_synthetic_visible,collision_response_failure_synthetic,prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable
v11_SYN_EXTRA_0225_prefix5_anchored_1279c3b65a6d9e_object_identity_change_containment_failure_synthetic,synthetic_controlled,TypeM_v11_synthetic_visible,containment_failure_synthetic,prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable
