condition_id,sample_id,template,camera_motion,prefix_video_path,gt_future_video_path,gt_full_video_path,prefix_decodable,prefix_frames,future_decodable,future_frames,full_decodable,full_frames,poses_exists,poses_finite,intrinsics_exists,intrinsics_finite,prompt_nonempty,image_exists,runnable,status,reason
v6b_02226_collision_orbit_right_64_seed41226,02226_collision_orbit_right_64_seed41226,collision,orbit_right_64,local_assets/targeted_BC_loser_mining_v6b/conditions/02226_collision_orbit_right_64_seed41226/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/02226_collision_orbit_right_64_seed41226/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02226_collision_orbit_right_64_seed41226/video.mp4,True,5,True,76,True,81,True,True,True,True,True,True,True,ok,
v6b_02228_collision_orbit_right_64_seed41228,02228_collision_orbit_right_64_seed41228,collision,orbit_right_64,local_assets/targeted_BC_loser_mining_v6b/conditions/02228_collision_orbit_right_64_seed41228/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/02228_collision_orbit_right_64_seed41228/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02228_collision_orbit_right_64_seed41228/video.mp4,True,5,True,76,True,81,True,True,True,True,True,True,True,ok,
v6b_02262_collision_orbit_right_64_seed41262,02262_collision_orbit_right_64_seed41262,collision,orbit_right_64,local_assets/targeted_BC_loser_mining_v6b/conditions/02262_collision_orbit_right_64_seed41262/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/02262_collision_orbit_right_64_seed41262/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02262_collision_orbit_right_64_seed41262/video.mp4,True,5,True,76,True,81,True,True,True,True,True,True,True,ok,
v6b_02276_collision_orbit_right_64_seed41276,02276_collision_orbit_right_64_seed41276,collision,orbit_right_64,local_assets/targeted_BC_loser_mining_v6b/conditions/02276_collision_orbit_right_64_seed41276/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/02276_collision_orbit_right_64_seed41276/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02276_collision_orbit_right_64_seed41276/video.mp4,True,5,True,76,True,81,True,True,True,True,True,True,True,ok,
v6b_02284_collision_orbit_right_64_seed41284,02284_collision_orbit_right_64_seed41284,collision,orbit_right_64,local_assets/targeted_BC_loser_mining_v6b/conditions/02284_collision_orbit_right_64_seed41284/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/02284_collision_orbit_right_64_seed41284/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02284_collision_orbit_right_64_seed41284/video.mp4,True,5,True,76,True,81,True,True,True,True,True,True,True,ok,
v6b_03409_roll_orbit_right_60_seed42409,03409_roll_orbit_right_60_seed42409,roll,orbit_right_60,local_assets/targeted_BC_loser_mining_v6b/conditions/03409_roll_orbit_right_60_seed42409/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/03409_roll_orbit_right_60_seed42409/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03409_roll_orbit_right_60_seed42409/video.mp4,True,5,True,76,True,81,True,True,True,True,True,True,True,ok,
v6b_03410_roll_orbit_right_60_seed42410,03410_roll_orbit_right_60_seed42410,roll,orbit_right_60,local_assets/targeted_BC_loser_mining_v6b/conditions/03410_roll_orbit_right_60_seed42410/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/03410_roll_orbit_right_60_seed42410/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03410_roll_orbit_right_60_seed42410/video.mp4,True,5,True,76,True,81,True,True,True,True,True,True,True,ok,
v6b_03413_roll_orbit_right_60_seed42413,03413_roll_orbit_right_60_seed42413,roll,orbit_right_60,local_assets/targeted_BC_loser_mining_v6b/conditions/03413_roll_orbit_right_60_seed42413/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/03413_roll_orbit_right_60_seed42413/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03413_roll_orbit_right_60_seed42413/video.mp4,True,5,True,76,True,81,True,True,True,True,True,True,True,ok,
v6b_03418_roll_orbit_right_60_seed42418,03418_roll_orbit_right_60_seed42418,roll,orbit_right_60,local_assets/targeted_BC_loser_mining_v6b/conditions/03418_roll_orbit_right_60_seed42418/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/03418_roll_orbit_right_60_seed42418/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03418_roll_orbit_right_60_seed42418/video.mp4,True,5,True,76,True,81,True,True,True,True,True,True,True,ok,
v6b_03435_roll_orbit_right_60_seed42435,03435_roll_orbit_right_60_seed42435,roll,orbit_right_60,local_assets/targeted_BC_loser_mining_v6b/conditions/03435_roll_orbit_right_60_seed42435/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/03435_roll_orbit_right_60_seed42435/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03435_roll_orbit_right_60_seed42435/video.mp4,True,5,True,76,True,81,True,True,True,True,True,True,True,ok,
v6b_03437_roll_orbit_right_60_seed42437,03437_roll_orbit_right_60_seed42437,roll,orbit_right_60,local_assets/targeted_BC_loser_mining_v6b/conditions/03437_roll_orbit_right_60_seed42437/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/03437_roll_orbit_right_60_seed42437/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03437_roll_orbit_right_60_seed42437/video.mp4,True,5,True,76,True,81,True,True,True,True,True,True,True,ok,
v6b_03440_roll_orbit_right_60_seed42440,03440_roll_orbit_right_60_seed42440,roll,orbit_right_60,local_assets/targeted_BC_loser_mining_v6b/conditions/03440_roll_orbit_right_60_seed42440/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/03440_roll_orbit_right_60_seed42440/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03440_roll_orbit_right_60_seed42440/video.mp4,True,5,True,76,True,81,True,True,True,True,True,True,True,ok,
v6b_03442_roll_orbit_right_60_seed42442,03442_roll_orbit_right_60_seed42442,roll,orbit_right_60,local_assets/targeted_BC_loser_mining_v6b/conditions/03442_roll_orbit_right_60_seed42442/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/03442_roll_orbit_right_60_seed42442/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03442_roll_orbit_right_60_seed42442/video.mp4,True,5,True,76,True,81,True,True,True,True,True,True,True,ok,
v6b_04204_containment_orbit_left_44_seed43204,04204_containment_orbit_left_44_seed43204,containment,orbit_left_44,local_assets/targeted_BC_loser_mining_v6b/conditions/04204_containment_orbit_left_44_seed43204/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/04204_containment_orbit_left_44_seed43204/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04204_containment_orbit_left_44_seed43204/video.mp4,True,5,True,76,True,81,True,True,True,True,True,True,True,ok,
v6b_04209_containment_orbit_left_44_seed43209,04209_containment_orbit_left_44_seed43209,containment,orbit_left_44,local_assets/targeted_BC_loser_mining_v6b/conditions/04209_containment_orbit_left_44_seed43209/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/04209_containment_orbit_left_44_seed43209/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04209_containment_orbit_left_44_seed43209/video.mp4,True,5,True,76,True,81,True,True,True,True,True,True,True,ok,
v6b_04214_containment_orbit_left_44_seed43214,04214_containment_orbit_left_44_seed43214,containment,orbit_left_44,local_assets/targeted_BC_loser_mining_v6b/conditions/04214_containment_orbit_left_44_seed43214/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/04214_containment_orbit_left_44_seed43214/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04214_containment_orbit_left_44_seed43214/video.mp4,True,5,True,76,True,81,True,True,True,True,True,True,True,ok,
v6b_04228_containment_orbit_left_44_seed43228,04228_containment_orbit_left_44_seed43228,containment,orbit_left_44,local_assets/targeted_BC_loser_mining_v6b/conditions/04228_containment_orbit_left_44_seed43228/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/04228_containment_orbit_left_44_seed43228/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04228_containment_orbit_left_44_seed43228/video.mp4,True,5,True,76,True,81,True,True,True,True,True,True,True,ok,
v6b_04236_containment_orbit_left_44_seed43236,04236_containment_orbit_left_44_seed43236,containment,orbit_left_44,local_assets/targeted_BC_loser_mining_v6b/conditions/04236_containment_orbit_left_44_seed43236/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/04236_containment_orbit_left_44_seed43236/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04236_containment_orbit_left_44_seed43236/video.mp4,True,5,True,76,True,81,True,True,True,True,True,True,True,ok,
v6b_04248_containment_orbit_left_44_seed43248,04248_containment_orbit_left_44_seed43248,containment,orbit_left_44,local_assets/targeted_BC_loser_mining_v6b/conditions/04248_containment_orbit_left_44_seed43248/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/04248_containment_orbit_left_44_seed43248/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04248_containment_orbit_left_44_seed43248/video.mp4,True,5,True,76,True,81,True,True,True,True,True,True,True,ok,
v6b_04249_containment_orbit_left_44_seed43249,04249_containment_orbit_left_44_seed43249,containment,orbit_left_44,local_assets/targeted_BC_loser_mining_v6b/conditions/04249_containment_orbit_left_44_seed43249/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/04249_containment_orbit_left_44_seed43249/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04249_containment_orbit_left_44_seed43249/video.mp4,True,5,True,76,True,81,True,True,True,True,True,True,True,ok,
v6b_04252_containment_orbit_left_44_seed43252,04252_containment_orbit_left_44_seed43252,containment,orbit_left_44,local_assets/targeted_BC_loser_mining_v6b/conditions/04252_containment_orbit_left_44_seed43252/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/04252_containment_orbit_left_44_seed43252/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04252_containment_orbit_left_44_seed43252/video.mp4,True,5,True,76,True,81,True,True,True,True,True,True,True,ok,
