pair_id,pair_type,sample_id,condition_id,template,camera_motion,winner_source,loser_source,winner_reward,loser_reward,reward_margin,sharpness_ratio_loser,main_failure,status,dpo_ready,written_reason,winner_video,loser_video,prefix_video
v6b_B_C_007_04228_containment_orbit_left_44_seed43228,B_C,04228_containment_orbit_left_44_seed43228,v6b_04228_containment_orbit_left_44_seed43228,containment,orbit_left_44,B_camera_r8,C_camera_self_temporal_r4,0.766141,0.746935,0.019206,1.921363,containment_failure,candidate_b_c_reward_positive,False,B>C candidate recorded but GT>C remains preferred winner for v6b,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/videos/04228_containment_orbit_left_44_seed43228_M_B_camera_r8_future.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/04228_containment_orbit_left_44_seed43228_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/04228_containment_orbit_left_44_seed43228/prefix_len5.mp4
v6b_GT_C_008_01029_drop_orbit_left_72_seed40029,GT_C,01029_drop_orbit_left_72_seed40029,v6b_01029_drop_orbit_left_72_seed40029,drop,orbit_left_72,clean_gt_future,C_camera_self_temporal_r4,1.0,0.714367,0.285633,1.025742,foreground_identity_extra_objects,dpo_ready_gt_c,True,"drop scene has clear extra colored objects/fragments, not blur-driven",local_assets/targeted_BC_loser_mining_v6b/conditions/01029_drop_orbit_left_72_seed40029/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/01029_drop_orbit_left_72_seed40029_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01029_drop_orbit_left_72_seed40029/prefix_len5.mp4
v6b_B_C_008_01029_drop_orbit_left_72_seed40029,B_C,01029_drop_orbit_left_72_seed40029,v6b_01029_drop_orbit_left_72_seed40029,drop,orbit_left_72,B_camera_r8,C_camera_self_temporal_r4,0.714594,0.714367,0.000227,1.025742,foreground_identity_extra_objects,candidate_b_c_reward_positive,False,B>C candidate recorded but GT>C remains preferred winner for v6b,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_B_camera_r8/videos/01029_drop_orbit_left_72_seed40029_M_B_camera_r8_future.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/01029_drop_orbit_left_72_seed40029_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01029_drop_orbit_left_72_seed40029/prefix_len5.mp4
v6b_GT_C_009_01032_drop_orbit_left_72_seed40032,GT_C,01032_drop_orbit_left_72_seed40032,v6b_01032_drop_orbit_left_72_seed40032,drop,orbit_left_72,clean_gt_future,C_camera_self_temporal_r4,1.0,0.734487,0.265513,1.132169,foreground_identity_extra_objects,dpo_ready_gt_c,True,drop scene has visible multi-object hallucination and event mismatch,local_assets/targeted_BC_loser_mining_v6b/conditions/01032_drop_orbit_left_72_seed40032/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/01032_drop_orbit_left_72_seed40032_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01032_drop_orbit_left_72_seed40032/prefix_len5.mp4
v6b_GT_C_010_02262_collision_orbit_right_64_seed41262,GT_C,02262_collision_orbit_right_64_seed41262,v6b_02262_collision_orbit_right_64_seed41262,collision,orbit_right_64,clean_gt_future,C_camera_self_temporal_r4,1.0,0.584952,0.415048,0.506687,collision_object_deform,rejected_metric_or_missing,False,collision scene readable with object deformation/extra object mismatch,local_assets/targeted_BC_loser_mining_v6b/conditions/02262_collision_orbit_right_64_seed41262/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/02262_collision_orbit_right_64_seed41262_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/02262_collision_orbit_right_64_seed41262/prefix_len5.mp4
v6b_GT_C_011_02276_collision_orbit_right_64_seed41276,GT_C,02276_collision_orbit_right_64_seed41276,v6b_02276_collision_orbit_right_64_seed41276,collision,orbit_right_64,clean_gt_future,C_camera_self_temporal_r4,1.0,0.80734,0.19266,0.683091,collision_event_failure,dpo_ready_gt_c,True,collision event is readable with bounded object/state error,local_assets/targeted_BC_loser_mining_v6b/conditions/02276_collision_orbit_right_64_seed41276/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/02276_collision_orbit_right_64_seed41276_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/02276_collision_orbit_right_64_seed41276/prefix_len5.mp4
v6b_GT_C_012_02284_collision_orbit_right_64_seed41284,GT_C,02284_collision_orbit_right_64_seed41284,v6b_02284_collision_orbit_right_64_seed41284,collision,orbit_right_64,clean_gt_future,C_camera_self_temporal_r4,1.0,0.75176,0.24824,0.822156,collision_extra_objects,dpo_ready_gt_c,True,collision scene has clear extra objects and event mismatch,local_assets/targeted_BC_loser_mining_v6b/conditions/02284_collision_orbit_right_64_seed41284/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/02284_collision_orbit_right_64_seed41284_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/02284_collision_orbit_right_64_seed41284/prefix_len5.mp4
v6b_GT_C_013_03435_roll_orbit_right_60_seed42435,GT_C,03435_roll_orbit_right_60_seed42435,v6b_03435_roll_orbit_right_60_seed42435,roll,orbit_right_60,clean_gt_future,C_camera_self_temporal_r4,1.0,0.78601,0.21399,1.103221,roll_identity_event,dpo_ready_gt_c,True,roll object trajectory/identity diverges while video remains clear,local_assets/targeted_BC_loser_mining_v6b/conditions/03435_roll_orbit_right_60_seed42435/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/03435_roll_orbit_right_60_seed42435_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/03435_roll_orbit_right_60_seed42435/prefix_len5.mp4
v6b_GT_C_014_03437_roll_orbit_right_60_seed42437,GT_C,03437_roll_orbit_right_60_seed42437,v6b_03437_roll_orbit_right_60_seed42437,roll,orbit_right_60,clean_gt_future,C_camera_self_temporal_r4,1.0,0.764163,0.235837,0.857681,roll_identity_event,dpo_ready_gt_c,True,roll object identity/state differs visibly without blur/collapse,local_assets/targeted_BC_loser_mining_v6b/conditions/03437_roll_orbit_right_60_seed42437/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/03437_roll_orbit_right_60_seed42437_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/03437_roll_orbit_right_60_seed42437/prefix_len5.mp4
v6b_GT_C_015_04248_containment_orbit_left_44_seed43248,GT_C,04248_containment_orbit_left_44_seed43248,v6b_04248_containment_orbit_left_44_seed43248,containment,orbit_left_44,clean_gt_future,C_camera_self_temporal_r4,1.0,0.722038,0.277962,1.194492,containment_extra_objects,dpo_ready_gt_c,True,containment scene has clear extra objects/state mismatch,local_assets/targeted_BC_loser_mining_v6b/conditions/04248_containment_orbit_left_44_seed43248/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/04248_containment_orbit_left_44_seed43248_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/04248_containment_orbit_left_44_seed43248/prefix_len5.mp4
v6b_GT_C_016_04249_containment_orbit_left_44_seed43249,GT_C,04249_containment_orbit_left_44_seed43249,v6b_04249_containment_orbit_left_44_seed43249,containment,orbit_left_44,clean_gt_future,C_camera_self_temporal_r4,1.0,0.7448,0.2552,1.539149,containment_extra_objects,dpo_ready_gt_c,True,containment scene has clear extra objects and foreground-state mismatch,local_assets/targeted_BC_loser_mining_v6b/conditions/04249_containment_orbit_left_44_seed43249/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/04249_containment_orbit_left_44_seed43249_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/04249_containment_orbit_left_44_seed43249/prefix_len5.mp4
v6b_B_C_016_04249_containment_orbit_left_44_seed43249,B_C,04249_containment_orbit_left_44_seed43249,v6b_04249_containment_orbit_left_44_seed43249,containment,orbit_left_44,B_camera_r8,C_camera_self_temporal_r4,0.791678,0.7448,0.046878,1.539149,containment_extra_objects,candidate_b_c_reward_positive,False,B>C candidate recorded but GT>C remains preferred winner for v6b,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_B_camera_r8/videos/04249_containment_orbit_left_44_seed43249_M_B_camera_r8_future.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/04249_containment_orbit_left_44_seed43249_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/04249_containment_orbit_left_44_seed43249/prefix_len5.mp4
