phase,requirement,status,evidence,detail,next_action
0_migration,approved-only copy executor status,BLOCKED,reports/migration/approved_copy_status.json,decision=APPROVED_COPY_BLOCKED_NO_APPROVED_ROWS,mark required restore rows approved=true and rerun approved-copy dry-run after NAS is visible
0_migration,PAI handoff verifier,BLOCKED,reports/migration/pai_handoff_status.json,decision=PAI_HANDOFF_BLOCKED_NAS_OR_ROOT,mount NAS/PhysEditWorld root and rerun PAI handoff verifier
0_migration,PAI restore packet decision,BLOCKED,reports/migration/pai_restore_packet.json,decision=PAI_RESTORE_PACKET_BLOCKED_NAS_OR_ROOT,"mount NAS, set PHYS_EDITWORLD_ROOTS, rerun bootstrap or restore-packet writer"
0_migration,external unblock packet decision,BLOCKED,reports/migration/physeditworld_external_unblock_packet.json,decision=PHYS_EDITWORLD_EXTERNAL_UNBLOCK_REQUIRED_NAS_OR_ROOT,"mount NAS, set PHYS_EDITWORLD_ROOTS, rerun external unblock packet writer and bootstrap"
0_migration,post-mount Phase1/2 continuation gate,BLOCKED,reports/physeditworld_50h/post_mount/post_mount_status.json,decision=POST_MOUNT_BLOCKED_AT_ROOT_INPUT,"set PHYS_EDITWORLD_ROOTS, select/lock the root, and rerun post-mount continuation"
1_data_audit,strict selected 50h manifest,BLOCKED,manifests/physeditworld_50h_all.jsonl,"rows=0, required>=1",mount selected PhysEditWorld 50h root and rerun manifest audit
1_data_audit,train split manifest,BLOCKED,manifests/physeditworld_50h_train.jsonl,"rows=0, required>=1",rerun replay-group split
1_data_audit,split summary,PASS,reports/physeditworld_50h/split_summary.md,file exists,
2_conversion,prompt-only gravity policy audit,PASS,reports/physeditworld_50h/prompt_gravity_policy/prompt_gravity_policy_audit.json,decision=PHYS_EDITWORLD_PROMPT_GRAVITY_POLICY_PASS,
2_conversion,LingBot train conversion manifest,BLOCKED,manifests/physeditworld_50h_lingbot_train.jsonl,"rows=0, required>=1",rerun prompt-only LingBot conversion
2_conversion,LingBot val conversion manifest,BLOCKED,manifests/physeditworld_50h_lingbot_val.jsonl,"rows=0, required>=1",rerun prompt-only LingBot conversion
2_conversion,LingBot train conversion schema validation,BLOCKED,reports/physeditworld_50h/conversion_validation/lingbot_train_manifest_validation.json,decision=LINGBOT_MANIFEST_BLOCKED_EMPTY,rerun conversion manifest validator after prompt-only LingBot conversion writes rows
2_conversion,LingBot val conversion schema validation,BLOCKED,reports/physeditworld_50h/conversion_validation/lingbot_val_manifest_validation.json,decision=LINGBOT_MANIFEST_BLOCKED_EMPTY,rerun conversion manifest validator after prompt-only LingBot conversion writes rows
3_baseline,LingBot backend readiness for baseline/warm-up/checkpoint eval,BLOCKED,reports/physeditworld_50h/backend_readiness/backend_readiness.json,decision=PHYS_EDITWORLD_BACKEND_BLOCKED_SCAFFOLD_ONLY,"connect real LingBot-Fast baseline rollout, checkpoint eval, and rank32 warm-up backend before running Phase3/4/5"
3_baseline,baseline true rollout gate,BLOCKED,reports/physeditworld_50h_baseline_rollout/summary.md,decision=BASELINE_BLOCKED_EMPTY_MANIFEST,run true baseline rollout after LingBot manifests exist
4_warmup,rank32 warm-up preflight,BLOCKED,reports/physeditworld_50h_warmup_rank32/preflight_summary.md,decision=WARMUP_BLOCKED_EMPTY_MANIFEST,run 5-step rank32 warm-up preflight after conversion
5_checkpoint_eval,checkpoint video/metric gate,BLOCKED,reports/physeditworld_50h_warmup_rank32/best_checkpoint_decision.json,decision=CHECKPOINT_EVAL_BLOCKED_EMPTY_EVAL_MANIFEST,"produce true rollout videos, metrics, and Codex audit"
7_tiny_dpo,tiny anchored DPO gate,BLOCKED,reports/physeditworld_tiny_dpo_v0/best_checkpoint_decision.json,decision=TINY_DPO_BLOCKED_INSUFFICIENT_PAIRS,build >=100 reviewed pairs before tiny DPO
8_ablation,future mixed-data ablation plan,PASS,docs/experiments/EXP_physeditworld50_plus_ourphysics50_ablation_plan.md,file exists,
6_pairs,anchored DPO pair manifest,BLOCKED,manifests/physeditworld_dpo_pairs_anchored_v0.jsonl,"rows=0, required>=100",run pair builder after warm-up checkpoint gate passes
6_pairs,strict anchored pair manifest validation,BLOCKED,reports/physeditworld_dpo_pairs_anchored_v0/pair_manifest_validation.json,decision=PHYS_EDITWORLD_PAIR_MANIFEST_BLOCKED_EMPTY,run pair manifest validator and fix/review every pair before tiny DPO
