subset,pair_id,source,failure_type,reward_margin,reviewed,local_mask_ready,medium_hard,winner_video_path,loser_video_path
all500,v11_SYN_0384_01002_drop_orbit_left_72_seed40002_wrong_camera_motion_visible,synthetic_controlled,wrong_camera_motion_visible,0.12,True,True,True,,
all500,v11_SYN_0035_02228_collision_orbit_right_64_seed41228_background_drift_visible,synthetic_controlled,background_drift_visible,0.12,True,True,True,,
all500,v11_SYN_EXTRA_0009_02215_collision_strafe_left_180_seed41215_collision_response_failure_synthetic,synthetic_controlled,collision_response_failure_synthetic,0.169114,True,True,True,,
all500,v11_SYN_EXTRA_0149_04209_containment_orbit_left_44_seed43209_containment_failure_synthetic,synthetic_controlled,containment_failure_synthetic,0.12,True,True,True,,
all500,v11_SYN_0385_01008_drop_orbit_left_72_seed40008_drop_motion_failure_synthetic,synthetic_controlled,drop_motion_failure_synthetic,0.174053,True,True,True,,
all500,v10_TypeM_071_01038_drop_orbit_left_72_seed40038_foreground_identity_color_shift,synthetic_controlled,foreground_identity_color_shift,0.42,True,True,True,,
all500,v10_TypeM_070_01032_drop_orbit_left_72_seed40032_local_patch_drift,synthetic_controlled,local_patch_drift,0.12,True,True,True,,
all500,v10_TypeM_069_01029_drop_orbit_left_72_seed40029_local_patch_freeze,synthetic_controlled,local_patch_freeze,0.213597,True,True,True,,
all500,v11_SYN_0393_01013_drop_orbit_left_72_seed40013_local_scene_patch_drift,synthetic_controlled,local_scene_patch_drift,0.15587,True,True,True,,
all500,v10_TypeM_072_01039_drop_orbit_left_72_seed40039_local_temporal_jump,synthetic_controlled,local_temporal_jump,0.321412,True,True,True,,
all500,v11_SYN_0056_02276_collision_orbit_right_64_seed41276_object_deformation_visible,synthetic_controlled,object_deformation_visible,0.12,True,True,True,,
all500,v11_SYN_0398_01014_drop_orbit_left_72_seed40014_object_duplicate_or_fragment,synthetic_controlled,object_duplicate_or_fragment,0.12,True,True,True,,
all500,v11_SYN_0388_01008_drop_orbit_left_72_seed40008_object_identity_color_shift,synthetic_controlled,object_identity_color_shift,0.201272,True,True,True,,
all500,v11_SYN_0395_01013_drop_orbit_left_72_seed40013_partial_freeze_foreground,synthetic_controlled,partial_freeze_foreground,0.196327,True,True,True,,
all500,v11_SYN_0230_04214_containment_orbit_left_44_seed43214_reobserve_mismatch_visible,synthetic_controlled,reobserve_mismatch_visible,0.222691,True,True,True,,
all500,v11_SYN_0493_03413_roll_orbit_right_60_seed42413_roll_event_fragment_synthetic,synthetic_controlled,roll_event_fragment_synthetic,0.12,True,True,True,,
all500,v11_SYN_0041_02239_collision_strafe_left_180_seed41239_background_drift_visible,synthetic_controlled,background_drift_visible,0.12,True,True,True,,
all500,v11_SYN_0031_02228_collision_orbit_right_64_seed41228_collision_response_failure_synthetic,synthetic_controlled,collision_response_failure_synthetic,0.12,True,True,True,,
all500,v11_SYN_EXTRA_0153_04214_containment_orbit_left_44_seed43214_containment_failure_synthetic,synthetic_controlled,containment_failure_synthetic,0.237937,True,True,True,,
all500,v11_SYN_0391_01013_drop_orbit_left_72_seed40013_drop_motion_failure_synthetic,synthetic_controlled,drop_motion_failure_synthetic,0.173788,True,True,True,,
all500,v10_TypeM_075_01079_drop_orbit_left_72_seed40079_foreground_identity_color_shift,synthetic_controlled,foreground_identity_color_shift,0.291791,True,True,True,,
all500,v10_TypeM_074_01060_drop_orbit_left_72_seed40060_local_patch_drift,synthetic_controlled,local_patch_drift,0.337693,True,True,True,,
all500,v10_TypeM_073_01047_drop_orbit_left_72_seed40047_local_patch_freeze,synthetic_controlled,local_patch_freeze,0.213947,True,True,True,,
all500,v11_SYN_0399_01014_drop_orbit_left_72_seed40014_local_scene_patch_drift,synthetic_controlled,local_scene_patch_drift,0.150437,True,True,True,,
all500,v10_TypeM_076_01086_drop_orbit_left_72_seed40086_local_temporal_jump,synthetic_controlled,local_temporal_jump,0.131628,True,True,True,,
all500,v11_SYN_EXTRA_0070_02353_collision_strafe_left_180_seed41353_object_deformation_visible,synthetic_controlled,object_deformation_visible,0.12,True,True,True,,
all500,v11_SYN_0404_01026_drop_orbit_left_72_seed40026_object_duplicate_or_fragment,synthetic_controlled,object_duplicate_or_fragment,0.12,True,True,True,,
all500,v11_SYN_0394_01013_drop_orbit_left_72_seed40013_object_identity_color_shift,synthetic_controlled,object_identity_color_shift,0.13782,True,True,True,,
all500,v11_SYN_0401_01014_drop_orbit_left_72_seed40014_partial_freeze_foreground,synthetic_controlled,partial_freeze_foreground,0.12,True,True,True,,
all500,v11_SYN_EXTRA_0154_04214_containment_orbit_left_44_seed43214_reobserve_mismatch_visible,synthetic_controlled,reobserve_mismatch_visible,0.142422,True,True,True,,
all500,v11_SYN_0499_03418_roll_orbit_right_60_seed42418_roll_event_fragment_synthetic,synthetic_controlled,roll_event_fragment_synthetic,0.12,True,True,True,,
all500,v11_SYN_0396_01013_drop_orbit_left_72_seed40013_wrong_camera_motion_visible,synthetic_controlled,wrong_camera_motion_visible,0.12,True,True,True,,
all500,v11_SYN_0047_02259_collision_strafe_left_180_seed41259_background_drift_visible,synthetic_controlled,background_drift_visible,0.12,True,True,True,,
all500,v11_SYN_EXTRA_0021_02228_collision_orbit_right_64_seed41228_collision_response_failure_synthetic,synthetic_controlled,collision_response_failure_synthetic,0.12,True,True,True,,
all500,v11_SYN_0235_04228_containment_orbit_left_44_seed43228_containment_failure_synthetic,synthetic_controlled,containment_failure_synthetic,0.12,True,True,True,,
all500,v11_SYN_0397_01014_drop_orbit_left_72_seed40014_drop_motion_failure_synthetic,synthetic_controlled,drop_motion_failure_synthetic,0.163137,True,True,True,,
all500,v10_TypeM_079_01108_drop_orbit_left_72_seed40108_foreground_identity_color_shift,synthetic_controlled,foreground_identity_color_shift,0.392047,True,True,True,,
all500,v10_TypeM_078_01102_drop_orbit_left_72_seed40102_local_patch_drift,synthetic_controlled,local_patch_drift,0.207982,True,True,True,,
all500,v10_TypeM_077_01101_drop_orbit_left_72_seed40101_local_patch_freeze,synthetic_controlled,local_patch_freeze,0.238745,True,True,True,,
all500,v11_SYN_0417_01032_drop_orbit_left_72_seed40032_local_scene_patch_drift,synthetic_controlled,local_scene_patch_drift,0.12,True,True,True,,
all500,v10_TypeM_004_02222_collision_orbit_right_64_seed41222_local_temporal_jump,synthetic_controlled,local_temporal_jump,0.152616,True,True,True,,
all500,v11_SYN_EXTRA_0082_02378_collision_orbit_right_64_seed41378_object_deformation_visible,synthetic_controlled,object_deformation_visible,0.12,True,True,True,,
all500,v11_SYN_0428_01039_drop_orbit_left_72_seed40039_object_duplicate_or_fragment,synthetic_controlled,object_duplicate_or_fragment,0.12,True,True,True,,
all500,v11_SYN_0400_01014_drop_orbit_left_72_seed40014_object_identity_color_shift,synthetic_controlled,object_identity_color_shift,0.121934,True,True,True,,
all500,v11_SYN_0413_01029_drop_orbit_left_72_seed40029_partial_freeze_foreground,synthetic_controlled,partial_freeze_foreground,0.182919,True,True,True,,
all500,v11_SYN_0236_04228_containment_orbit_left_44_seed43228_reobserve_mismatch_visible,synthetic_controlled,reobserve_mismatch_visible,0.12,True,True,True,,
all500,v11_SYN_0505_03435_roll_orbit_right_60_seed42435_roll_event_fragment_synthetic,synthetic_controlled,roll_event_fragment_synthetic,0.184896,True,True,True,,
all500,v11_SYN_0414_01029_drop_orbit_left_72_seed40029_wrong_camera_motion_visible,synthetic_controlled,wrong_camera_motion_visible,0.128958,True,True,True,,
all500,v11_SYN_0053_02262_collision_orbit_right_64_seed41262_background_drift_visible,synthetic_controlled,background_drift_visible,0.12,True,True,True,,
all500,v11_SYN_EXTRA_0025_02239_collision_strafe_left_180_seed41239_collision_response_failure_synthetic,synthetic_controlled,collision_response_failure_synthetic,0.12,True,True,True,,
all500,v11_SYN_EXTRA_0157_04228_containment_orbit_left_44_seed43228_containment_failure_synthetic,synthetic_controlled,containment_failure_synthetic,0.137285,True,True,True,,
all500,v11_SYN_0403_01026_drop_orbit_left_72_seed40026_drop_motion_failure_synthetic,synthetic_controlled,drop_motion_failure_synthetic,0.224865,True,True,True,,
all500,v10_TypeM_003_02215_collision_strafe_left_180_seed41215_foreground_identity_color_shift,synthetic_controlled,foreground_identity_color_shift,0.176885,True,True,True,,
all500,v10_TypeM_002_02202_collision_orbit_right_64_seed41202_local_patch_drift,synthetic_controlled,local_patch_drift,0.12,True,True,True,,
all500,v10_TypeM_005_02226_collision_orbit_right_64_seed41226_local_patch_freeze,synthetic_controlled,local_patch_freeze,0.185229,True,True,True,,
all500,v11_SYN_0423_01038_drop_orbit_left_72_seed40038_local_scene_patch_drift,synthetic_controlled,local_scene_patch_drift,0.12,True,True,True,,
all500,v10_TypeM_016_02327_collision_strafe_left_180_seed41327_local_temporal_jump,synthetic_controlled,local_temporal_jump,0.173646,True,True,True,,
all500,v11_SYN_0537_03465_roll_orbit_right_60_seed42465_object_deformation_visible,synthetic_controlled,object_deformation_visible,0.12,True,True,True,,
all500,v11_SYN_0434_01047_drop_orbit_left_72_seed40047_object_duplicate_or_fragment,synthetic_controlled,object_duplicate_or_fragment,0.146414,True,True,True,,
all500,v11_SYN_0406_01026_drop_orbit_left_72_seed40026_object_identity_color_shift,synthetic_controlled,object_identity_color_shift,0.262554,True,True,True,,
all500,v11_SYN_0419_01032_drop_orbit_left_72_seed40032_partial_freeze_foreground,synthetic_controlled,partial_freeze_foreground,0.164712,True,True,True,,
all500,v11_SYN_EXTRA_0158_04228_containment_orbit_left_44_seed43228_reobserve_mismatch_visible,synthetic_controlled,reobserve_mismatch_visible,0.12,True,True,True,,
all500,v11_SYN_0511_03437_roll_orbit_right_60_seed42437_roll_event_fragment_synthetic,synthetic_controlled,roll_event_fragment_synthetic,0.186921,True,True,True,,
all500,v11_SYN_0420_01032_drop_orbit_left_72_seed40032_wrong_camera_motion_visible,synthetic_controlled,wrong_camera_motion_visible,0.12,True,True,True,,
all500,v11_SYN_0059_02276_collision_orbit_right_64_seed41276_background_drift_visible,synthetic_controlled,background_drift_visible,0.12,True,True,True,,
all500,v11_SYN_0043_02259_collision_strafe_left_180_seed41259_collision_response_failure_synthetic,synthetic_controlled,collision_response_failure_synthetic,0.12,True,True,True,,
all500,v11_SYN_0241_04236_containment_orbit_left_44_seed43236_containment_failure_synthetic,synthetic_controlled,containment_failure_synthetic,0.12,True,True,True,,
all500,v11_SYN_0409_01029_drop_orbit_left_72_seed40029_drop_motion_failure_synthetic,synthetic_controlled,drop_motion_failure_synthetic,0.124684,True,True,True,,
all500,v10_TypeM_007_02239_collision_strafe_left_180_seed41239_foreground_identity_color_shift,synthetic_controlled,foreground_identity_color_shift,0.266163,True,True,True,,
all500,v10_TypeM_006_02228_collision_orbit_right_64_seed41228_local_patch_drift,synthetic_controlled,local_patch_drift,0.151804,True,True,True,,
all500,v10_TypeM_009_02262_collision_orbit_right_64_seed41262_local_patch_freeze,synthetic_controlled,local_patch_freeze,0.139875,True,True,True,,
all500,v11_SYN_0429_01039_drop_orbit_left_72_seed40039_local_scene_patch_drift,synthetic_controlled,local_scene_patch_drift,0.134472,True,True,True,,
all500,v10_TypeM_040_04228_containment_orbit_left_44_seed43228_local_temporal_jump,synthetic_controlled,local_temporal_jump,0.245147,True,True,True,,
all500,v11_SYN_0549_03477_roll_orbit_right_60_seed42477_object_deformation_visible,synthetic_controlled,object_deformation_visible,0.12,True,True,True,,
all500,v11_SYN_0440_01060_drop_orbit_left_72_seed40060_object_duplicate_or_fragment,synthetic_controlled,object_duplicate_or_fragment,0.12,True,True,True,,
all500,v11_SYN_0412_01029_drop_orbit_left_72_seed40029_object_identity_color_shift,synthetic_controlled,object_identity_color_shift,0.340172,True,True,True,,
all500,v11_SYN_0425_01038_drop_orbit_left_72_seed40038_partial_freeze_foreground,synthetic_controlled,partial_freeze_foreground,0.162689,True,True,True,,
all500,v11_SYN_0242_04236_containment_orbit_left_44_seed43236_reobserve_mismatch_visible,synthetic_controlled,reobserve_mismatch_visible,0.123046,True,True,True,,
all500,v11_SYN_0517_03440_roll_orbit_right_60_seed42440_roll_event_fragment_synthetic,synthetic_controlled,roll_event_fragment_synthetic,0.185482,True,True,True,,
all500,v11_SYN_0432_01039_drop_orbit_left_72_seed40039_wrong_camera_motion_visible,synthetic_controlled,wrong_camera_motion_visible,0.12,True,True,True,,
all500,v11_SYN_0065_02284_collision_orbit_right_64_seed41284_background_drift_visible,synthetic_controlled,background_drift_visible,0.12,True,True,True,,
all500,v11_SYN_EXTRA_0029_02259_collision_strafe_left_180_seed41259_collision_response_failure_synthetic,synthetic_controlled,collision_response_failure_synthetic,0.12,True,True,True,,
all500,v11_SYN_EXTRA_0165_04248_containment_orbit_left_44_seed43248_containment_failure_synthetic,synthetic_controlled,containment_failure_synthetic,0.12,True,True,True,,
all500,v11_SYN_0415_01032_drop_orbit_left_72_seed40032_drop_motion_failure_synthetic,synthetic_controlled,drop_motion_failure_synthetic,0.137709,True,True,True,,
all500,v10_TypeM_011_02284_collision_orbit_right_64_seed41284_foreground_identity_color_shift,synthetic_controlled,foreground_identity_color_shift,0.276501,True,True,True,,
all500,v10_TypeM_010_02276_collision_orbit_right_64_seed41276_local_patch_drift,synthetic_controlled,local_patch_drift,0.12,True,True,True,,
all500,v10_TypeM_013_02288_collision_orbit_right_64_seed41288_local_patch_freeze,synthetic_controlled,local_patch_freeze,0.122334,True,True,True,,
all500,v11_SYN_0435_01047_drop_orbit_left_72_seed40047_local_scene_patch_drift,synthetic_controlled,local_scene_patch_drift,0.212189,True,True,True,,
all500,v10_TypeM_044_04252_containment_orbit_left_44_seed43252_local_temporal_jump,synthetic_controlled,local_temporal_jump,0.170102,True,True,True,,
all500,v11_SYN_0579_03533_roll_orbit_right_60_seed42533_object_deformation_visible,synthetic_controlled,object_deformation_visible,0.12,True,True,True,,
all500,v11_SYN_0452_01086_drop_orbit_left_72_seed40086_object_duplicate_or_fragment,synthetic_controlled,object_duplicate_or_fragment,0.12,True,True,True,,
all500,v11_SYN_0418_01032_drop_orbit_left_72_seed40032_object_identity_color_shift,synthetic_controlled,object_identity_color_shift,0.12,True,True,True,,
all500,v11_SYN_0431_01039_drop_orbit_left_72_seed40039_partial_freeze_foreground,synthetic_controlled,partial_freeze_foreground,0.146666,True,True,True,,
all500,v11_SYN_EXTRA_0162_04236_containment_orbit_left_44_seed43236_reobserve_mismatch_visible,synthetic_controlled,reobserve_mismatch_visible,0.12,True,True,True,,
all500,v11_SYN_0529_03453_roll_orbit_right_60_seed42453_roll_event_fragment_synthetic,synthetic_controlled,roll_event_fragment_synthetic,0.12,True,True,True,,
all500,v11_SYN_0438_01047_drop_orbit_left_72_seed40047_wrong_camera_motion_visible,synthetic_controlled,wrong_camera_motion_visible,0.12,True,True,True,,
all500,v11_SYN_0095_02327_collision_strafe_left_180_seed41327_background_drift_visible,synthetic_controlled,background_drift_visible,0.12,True,True,True,,
all500,v11_SYN_0049_02262_collision_orbit_right_64_seed41262_collision_response_failure_synthetic,synthetic_controlled,collision_response_failure_synthetic,0.12,True,True,True,,
all500,v11_SYN_0253_04249_containment_orbit_left_44_seed43249_containment_failure_synthetic,synthetic_controlled,containment_failure_synthetic,0.123279,True,True,True,,
all500,v11_SYN_0421_01038_drop_orbit_left_72_seed40038_drop_motion_failure_synthetic,synthetic_controlled,drop_motion_failure_synthetic,0.1639,True,True,True,,
all500,v10_TypeM_015_02295_collision_strafe_left_180_seed41295_foreground_identity_color_shift,synthetic_controlled,foreground_identity_color_shift,0.219687,True,True,True,,
all500,v10_TypeM_018_02353_collision_strafe_left_180_seed41353_local_patch_drift,synthetic_controlled,local_patch_drift,0.206966,True,True,True,,
all500,v10_TypeM_017_02328_collision_orbit_right_64_seed41328_local_patch_freeze,synthetic_controlled,local_patch_freeze,0.147857,True,True,True,,
all500,v11_SYN_0441_01060_drop_orbit_left_72_seed40060_local_scene_patch_drift,synthetic_controlled,local_scene_patch_drift,0.185446,True,True,True,,
all500,v10_TypeM_048_04280_containment_orbit_left_44_seed43280_local_temporal_jump,synthetic_controlled,local_temporal_jump,0.202429,True,True,True,,
all500,v11_SYN_0585_03536_roll_orbit_right_60_seed42536_object_deformation_visible,synthetic_controlled,object_deformation_visible,0.12,True,True,True,,
all500,v11_SYN_0458_01101_drop_orbit_left_72_seed40101_object_duplicate_or_fragment,synthetic_controlled,object_duplicate_or_fragment,0.12,True,True,True,,
all500,v11_SYN_0424_01038_drop_orbit_left_72_seed40038_object_identity_color_shift,synthetic_controlled,object_identity_color_shift,0.12,True,True,True,,
all500,v11_SYN_0437_01047_drop_orbit_left_72_seed40047_partial_freeze_foreground,synthetic_controlled,partial_freeze_foreground,0.19879,True,True,True,,
all500,v11_SYN_0248_04248_containment_orbit_left_44_seed43248_reobserve_mismatch_visible,synthetic_controlled,reobserve_mismatch_visible,0.12,True,True,True,,
all500,v11_SYN_0535_03465_roll_orbit_right_60_seed42465_roll_event_fragment_synthetic,synthetic_controlled,roll_event_fragment_synthetic,0.128875,True,True,True,,
all500,v11_SYN_0444_01060_drop_orbit_left_72_seed40060_wrong_camera_motion_visible,synthetic_controlled,wrong_camera_motion_visible,0.13992,True,True,True,,
all500,v11_SYN_0101_02328_collision_orbit_right_64_seed41328_background_drift_visible,synthetic_controlled,background_drift_visible,0.12,True,True,True,,
all500,v11_SYN_0055_02276_collision_orbit_right_64_seed41276_collision_response_failure_synthetic,synthetic_controlled,collision_response_failure_synthetic,0.12,True,True,True,,
all500,v11_SYN_EXTRA_0169_04249_containment_orbit_left_44_seed43249_containment_failure_synthetic,synthetic_controlled,containment_failure_synthetic,0.12,True,True,True,,
all500,v11_SYN_0427_01039_drop_orbit_left_72_seed40039_drop_motion_failure_synthetic,synthetic_controlled,drop_motion_failure_synthetic,0.24963,True,True,True,,
all500,v10_TypeM_019_02360_collision_orbit_right_64_seed41360_foreground_identity_color_shift,synthetic_controlled,foreground_identity_color_shift,0.211237,True,True,True,,
all500,v10_TypeM_038_04209_containment_orbit_left_44_seed43209_local_patch_drift,synthetic_controlled,local_patch_drift,0.137337,True,True,True,,
all500,v10_TypeM_037_04204_containment_orbit_left_44_seed43204_local_patch_freeze,synthetic_controlled,local_patch_freeze,0.12,True,True,True,,
all500,v11_SYN_0447_01079_drop_orbit_left_72_seed40079_local_scene_patch_drift,synthetic_controlled,local_scene_patch_drift,0.12,True,True,True,,
all500,v10_TypeM_052_04346_containment_orbit_left_44_seed43346_local_temporal_jump,synthetic_controlled,local_temporal_jump,0.262297,True,True,True,,
all500,v11_SYN_EXTRA_0018_02226_collision_orbit_right_64_seed41226_object_deformation_visible,synthetic_controlled,object_deformation_visible,0.12,True,True,True,,
all500,v11_SYN_0470_01108_drop_orbit_left_72_seed40108_object_duplicate_or_fragment,synthetic_controlled,object_duplicate_or_fragment,0.12,True,True,True,,
all500,v11_SYN_0443_01060_drop_orbit_left_72_seed40060_partial_freeze_foreground,synthetic_controlled,partial_freeze_foreground,0.161842,True,True,True,,
all500,v11_SYN_EXTRA_0166_04248_containment_orbit_left_44_seed43248_reobserve_mismatch_visible,synthetic_controlled,reobserve_mismatch_visible,0.12,True,True,True,,
all500,v11_SYN_0541_03472_roll_orbit_right_60_seed42472_roll_event_fragment_synthetic,synthetic_controlled,roll_event_fragment_synthetic,0.12,True,True,True,,
all500,v11_SYN_0450_01079_drop_orbit_left_72_seed40079_wrong_camera_motion_visible,synthetic_controlled,wrong_camera_motion_visible,0.12,True,True,True,,
all500,v11_SYN_0113_02360_collision_orbit_right_64_seed41360_background_drift_visible,synthetic_controlled,background_drift_visible,0.12,True,True,True,,
all500,v11_SYN_EXTRA_0037_02276_collision_orbit_right_64_seed41276_collision_response_failure_synthetic,synthetic_controlled,collision_response_failure_synthetic,0.12,True,True,True,,
all500,v11_SYN_0259_04252_containment_orbit_left_44_seed43252_containment_failure_synthetic,synthetic_controlled,containment_failure_synthetic,0.12,True,True,True,,
all500,v11_SYN_0433_01047_drop_orbit_left_72_seed40047_drop_motion_failure_synthetic,synthetic_controlled,drop_motion_failure_synthetic,0.13434,True,True,True,,
all500,v10_TypeM_039_04214_containment_orbit_left_44_seed43214_foreground_identity_color_shift,synthetic_controlled,foreground_identity_color_shift,0.351599,True,True,True,,
all500,v10_TypeM_042_04248_containment_orbit_left_44_seed43248_local_patch_drift,synthetic_controlled,local_patch_drift,0.169113,True,True,True,,
all500,v10_TypeM_045_04260_containment_orbit_left_44_seed43260_local_patch_freeze,synthetic_controlled,local_patch_freeze,0.223871,True,True,True,,
all500,v11_SYN_0453_01086_drop_orbit_left_72_seed40086_local_scene_patch_drift,synthetic_controlled,local_scene_patch_drift,0.12,True,True,True,,
all500,v10_TypeM_056_04358_containment_orbit_left_44_seed43358_local_temporal_jump,synthetic_controlled,local_temporal_jump,0.158027,True,True,True,,
all500,v11_SYN_0008_02202_collision_orbit_right_64_seed41202_object_deformation_visible,synthetic_controlled,object_deformation_visible,0.12,True,True,True,,
all500,v11_SYN_0045_02259_collision_strafe_left_180_seed41259_object_duplicate_or_fragment,synthetic_controlled,object_duplicate_or_fragment,0.12,True,True,True,,
all500,v11_SYN_0449_01079_drop_orbit_left_72_seed40079_partial_freeze_foreground,synthetic_controlled,partial_freeze_foreground,0.179934,True,True,True,,
all500,v11_SYN_0254_04249_containment_orbit_left_44_seed43249_reobserve_mismatch_visible,synthetic_controlled,reobserve_mismatch_visible,0.126201,True,True,True,,
all500,v11_SYN_0553_03484_roll_orbit_right_60_seed42484_roll_event_fragment_synthetic,synthetic_controlled,roll_event_fragment_synthetic,0.12,True,True,True,,
all500,v11_SYN_0456_01086_drop_orbit_left_72_seed40086_wrong_camera_motion_visible,synthetic_controlled,wrong_camera_motion_visible,0.12,True,True,True,,
all500,v11_SYN_0119_02366_collision_orbit_right_64_seed41366_background_drift_visible,synthetic_controlled,background_drift_visible,0.12,True,True,True,,
all500,v11_SYN_0061_02284_collision_orbit_right_64_seed41284_collision_response_failure_synthetic,synthetic_controlled,collision_response_failure_synthetic,0.12,True,True,True,,
all500,v11_SYN_0265_04260_containment_orbit_left_44_seed43260_containment_failure_synthetic,synthetic_controlled,containment_failure_synthetic,0.12,True,True,True,,
all500,v11_SYN_0439_01060_drop_orbit_left_72_seed40060_drop_motion_failure_synthetic,synthetic_controlled,drop_motion_failure_synthetic,0.201496,True,True,True,,
all500,v10_TypeM_043_04249_containment_orbit_left_44_seed43249_foreground_identity_color_shift,synthetic_controlled,foreground_identity_color_shift,0.25022,True,True,True,,
all500,v10_TypeM_046_04267_containment_orbit_left_44_seed43267_local_patch_drift,synthetic_controlled,local_patch_drift,0.165333,True,True,True,,
all500,v10_TypeM_049_04302_containment_orbit_left_44_seed43302_local_patch_freeze,synthetic_controlled,local_patch_freeze,0.186757,True,True,True,,
all500,v11_SYN_0459_01101_drop_orbit_left_72_seed40101_local_scene_patch_drift,synthetic_controlled,local_scene_patch_drift,0.12,True,True,True,,
all500,v10_TypeM_060_prefix5_anchored_d744c2d6f264ba_object_deformation_local_temporal_jump,synthetic_controlled,local_temporal_jump,0.165924,True,True,True,,
all500,v11_SYN_EXTRA_0094_prefix5_anchored_1ca3412d8f73c8_nonrigid_background_warp_object_deformation_visible,synthetic_controlled,object_deformation_visible,0.12,True,True,True,,
all500,v11_SYN_EXTRA_0087_02384_collision_orbit_right_64_seed41384_object_duplicate_or_fragment,synthetic_controlled,object_duplicate_or_fragment,0.12,True,True,True,,
all500,v11_SYN_0455_01086_drop_orbit_left_72_seed40086_partial_freeze_foreground,synthetic_controlled,partial_freeze_foreground,0.12,True,True,True,,
all500,v11_SYN_0260_04252_containment_orbit_left_44_seed43252_reobserve_mismatch_visible,synthetic_controlled,reobserve_mismatch_visible,0.12,True,True,True,,
