pair_id,pair_type,corruption_type,contact_sheet,codex_reviewed,codex_can_see_difference,loser_readable,too_blurry,too_collapsed,too_subtle,medium_hard,status,written_reason
v10_TypeM_002_02202_collision_orbit_right_64_seed41202_local_patch_drift,TypeM_v10_synthetic_visible,local_patch_drift,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_002_02202_collision_orbit_right_64_seed41202_local_patch_drift.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_patch_drift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=35.0; sharpness_ratio=1.000343
v10_TypeM_016_02327_collision_strafe_left_180_seed41327_local_temporal_jump,TypeM_v10_synthetic_visible,local_temporal_jump,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_016_02327_collision_strafe_left_180_seed41327_local_temporal_jump.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_temporal_jump creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=120.0; sharpness_ratio=1.110587
v10_TypeM_017_02328_collision_orbit_right_64_seed41328_local_patch_freeze,TypeM_v10_synthetic_visible,local_patch_freeze,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_017_02328_collision_orbit_right_64_seed41328_local_patch_freeze.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_patch_freeze creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=31.0; sharpness_ratio=1.164595
v10_TypeM_018_02353_collision_strafe_left_180_seed41353_local_patch_drift,TypeM_v10_synthetic_visible,local_patch_drift,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_018_02353_collision_strafe_left_180_seed41353_local_patch_drift.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_patch_drift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=90.0; sharpness_ratio=1.073627
v10_TypeM_019_02360_collision_orbit_right_64_seed41360_foreground_identity_color_shift,TypeM_v10_synthetic_visible,foreground_identity_color_shift,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_019_02360_collision_orbit_right_64_seed41360_foreground_identity_color_shift.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,foreground_identity_color_shift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=48.0; sharpness_ratio=1.0
v10_TypeM_023_prefix5_anchored_1128e39109fc83_object_deformation_foreground_identity_color_shift,TypeM_v10_synthetic_visible,foreground_identity_color_shift,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_023_prefix5_anchored_1128e39109fc83_object_deformation_foreground_identity_color_shift.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,foreground_identity_color_shift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=56.0; sharpness_ratio=1.109058
v10_TypeM_026_prefix5_anchored_525c18bc4422f0_background_drift_local_patch_drift,TypeM_v10_synthetic_visible,local_patch_drift,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_026_prefix5_anchored_525c18bc4422f0_background_drift_local_patch_drift.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_patch_drift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=99.0; sharpness_ratio=1.058412
v10_TypeM_027_prefix5_anchored_7f708dfe212ad6_freeze_foreground_foreground_identity_color_shift,TypeM_v10_synthetic_visible,foreground_identity_color_shift,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_027_prefix5_anchored_7f708dfe212ad6_freeze_foreground_foreground_identity_color_shift.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,foreground_identity_color_shift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=50.0; sharpness_ratio=1.131872
v10_TypeM_031_prefix5_anchored_ede413792fce8b_nonrigid_background_warp_foreground_identity_color_shift,TypeM_v10_synthetic_visible,foreground_identity_color_shift,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_031_prefix5_anchored_ede413792fce8b_nonrigid_background_warp_foreground_identity_color_shift.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,foreground_identity_color_shift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=52.0; sharpness_ratio=1.068512
v10_TypeM_035_v6_02222_collision_orbit_right_64_seed41222_foreground_identity_color_shift,TypeM_v10_synthetic_visible,foreground_identity_color_shift,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_035_v6_02222_collision_orbit_right_64_seed41222_foreground_identity_color_shift.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,foreground_identity_color_shift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=52.0; sharpness_ratio=1.037331
v10_TypeM_036_v6_02226_collision_orbit_right_64_seed41226_local_temporal_jump,TypeM_v10_synthetic_visible,local_temporal_jump,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_036_v6_02226_collision_orbit_right_64_seed41226_local_temporal_jump.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_temporal_jump creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=103.0; sharpness_ratio=1.070547
v10_TypeM_037_04204_containment_orbit_left_44_seed43204_local_patch_freeze,TypeM_v10_synthetic_visible,local_patch_freeze,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_037_04204_containment_orbit_left_44_seed43204_local_patch_freeze.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_patch_freeze creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=42.0; sharpness_ratio=1.005437
v10_TypeM_038_04209_containment_orbit_left_44_seed43209_local_patch_drift,TypeM_v10_synthetic_visible,local_patch_drift,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_038_04209_containment_orbit_left_44_seed43209_local_patch_drift.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_patch_drift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=61.0; sharpness_ratio=1.005665
v10_TypeM_039_04214_containment_orbit_left_44_seed43214_foreground_identity_color_shift,TypeM_v10_synthetic_visible,foreground_identity_color_shift,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_039_04214_containment_orbit_left_44_seed43214_foreground_identity_color_shift.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,foreground_identity_color_shift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=78.0; sharpness_ratio=1.0
v10_TypeM_040_04228_containment_orbit_left_44_seed43228_local_temporal_jump,TypeM_v10_synthetic_visible,local_temporal_jump,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_040_04228_containment_orbit_left_44_seed43228_local_temporal_jump.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_temporal_jump creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=79.0; sharpness_ratio=1.035805
v10_TypeM_042_04248_containment_orbit_left_44_seed43248_local_patch_drift,TypeM_v10_synthetic_visible,local_patch_drift,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_042_04248_containment_orbit_left_44_seed43248_local_patch_drift.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_patch_drift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=68.0; sharpness_ratio=1.011123
v10_TypeM_043_04249_containment_orbit_left_44_seed43249_foreground_identity_color_shift,TypeM_v10_synthetic_visible,foreground_identity_color_shift,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_043_04249_containment_orbit_left_44_seed43249_foreground_identity_color_shift.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,foreground_identity_color_shift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=50.0; sharpness_ratio=1.13644
v10_TypeM_044_04252_containment_orbit_left_44_seed43252_local_temporal_jump,TypeM_v10_synthetic_visible,local_temporal_jump,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_044_04252_containment_orbit_left_44_seed43252_local_temporal_jump.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_temporal_jump creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=61.0; sharpness_ratio=1.004681
v10_TypeM_045_04260_containment_orbit_left_44_seed43260_local_patch_freeze,TypeM_v10_synthetic_visible,local_patch_freeze,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_045_04260_containment_orbit_left_44_seed43260_local_patch_freeze.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_patch_freeze creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=96.0; sharpness_ratio=1.007695
v10_TypeM_046_04267_containment_orbit_left_44_seed43267_local_patch_drift,TypeM_v10_synthetic_visible,local_patch_drift,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_046_04267_containment_orbit_left_44_seed43267_local_patch_drift.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_patch_drift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=77.0; sharpness_ratio=1.010295
v10_TypeM_047_04279_containment_orbit_left_44_seed43279_foreground_identity_color_shift,TypeM_v10_synthetic_visible,foreground_identity_color_shift,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_047_04279_containment_orbit_left_44_seed43279_foreground_identity_color_shift.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,foreground_identity_color_shift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=122.0; sharpness_ratio=1.013929
v10_TypeM_048_04280_containment_orbit_left_44_seed43280_local_temporal_jump,TypeM_v10_synthetic_visible,local_temporal_jump,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_048_04280_containment_orbit_left_44_seed43280_local_temporal_jump.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_temporal_jump creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=74.0; sharpness_ratio=1.011401
v10_TypeM_049_04302_containment_orbit_left_44_seed43302_local_patch_freeze,TypeM_v10_synthetic_visible,local_patch_freeze,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_049_04302_containment_orbit_left_44_seed43302_local_patch_freeze.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_patch_freeze creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=69.0; sharpness_ratio=1.0
v10_TypeM_050_04339_containment_orbit_left_44_seed43339_local_patch_drift,TypeM_v10_synthetic_visible,local_patch_drift,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_050_04339_containment_orbit_left_44_seed43339_local_patch_drift.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_patch_drift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=48.0; sharpness_ratio=1.0
v10_TypeM_051_04342_containment_orbit_left_44_seed43342_foreground_identity_color_shift,TypeM_v10_synthetic_visible,foreground_identity_color_shift,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_051_04342_containment_orbit_left_44_seed43342_foreground_identity_color_shift.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,foreground_identity_color_shift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=53.0; sharpness_ratio=1.040754
v10_TypeM_052_04346_containment_orbit_left_44_seed43346_local_temporal_jump,TypeM_v10_synthetic_visible,local_temporal_jump,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_052_04346_containment_orbit_left_44_seed43346_local_temporal_jump.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_temporal_jump creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=85.0; sharpness_ratio=1.010464
v10_TypeM_053_04351_containment_orbit_left_44_seed43351_local_patch_freeze,TypeM_v10_synthetic_visible,local_patch_freeze,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_053_04351_containment_orbit_left_44_seed43351_local_patch_freeze.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_patch_freeze creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=113.0; sharpness_ratio=1.0
v10_TypeM_054_04355_containment_orbit_left_44_seed43355_local_patch_drift,TypeM_v10_synthetic_visible,local_patch_drift,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_054_04355_containment_orbit_left_44_seed43355_local_patch_drift.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_patch_drift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=84.0; sharpness_ratio=1.076183
v10_TypeM_055_04357_containment_orbit_left_44_seed43357_foreground_identity_color_shift,TypeM_v10_synthetic_visible,foreground_identity_color_shift,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_055_04357_containment_orbit_left_44_seed43357_foreground_identity_color_shift.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,foreground_identity_color_shift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=45.0; sharpness_ratio=1.059029
v10_TypeM_056_04358_containment_orbit_left_44_seed43358_local_temporal_jump,TypeM_v10_synthetic_visible,local_temporal_jump,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_056_04358_containment_orbit_left_44_seed43358_local_temporal_jump.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_temporal_jump creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=71.0; sharpness_ratio=1.0
v10_TypeM_057_prefix5_anchored_1279c3b65a6d9e_object_identity_change_local_patch_freeze,TypeM_v10_synthetic_visible,local_patch_freeze,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_057_prefix5_anchored_1279c3b65a6d9e_object_identity_change_local_patch_freeze.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_patch_freeze creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=36.0; sharpness_ratio=1.0
v10_TypeM_058_prefix5_anchored_29df7c5cf94c4b_reobserve_mismatch_local_patch_drift,TypeM_v10_synthetic_visible,local_patch_drift,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_058_prefix5_anchored_29df7c5cf94c4b_reobserve_mismatch_local_patch_drift.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_patch_drift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=76.0; sharpness_ratio=1.005913
v10_TypeM_059_prefix5_anchored_95981b8f74bed0_background_drift_foreground_identity_color_shift,TypeM_v10_synthetic_visible,foreground_identity_color_shift,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_059_prefix5_anchored_95981b8f74bed0_background_drift_foreground_identity_color_shift.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,foreground_identity_color_shift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=74.0; sharpness_ratio=1.005252
v10_TypeM_060_prefix5_anchored_d744c2d6f264ba_object_deformation_local_temporal_jump,TypeM_v10_synthetic_visible,local_temporal_jump,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_060_prefix5_anchored_d744c2d6f264ba_object_deformation_local_temporal_jump.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_temporal_jump creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=76.0; sharpness_ratio=1.0
v10_TypeM_061_prefix5_anchored_d86ae2fb1d25b2_freeze_foreground_local_patch_freeze,TypeM_v10_synthetic_visible,local_patch_freeze,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_061_prefix5_anchored_d86ae2fb1d25b2_freeze_foreground_local_patch_freeze.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_patch_freeze creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=46.0; sharpness_ratio=1.002144
v10_TypeM_062_prefix5_anchored_dc458b2cf487d8_wrong_camera_motion_local_patch_drift,TypeM_v10_synthetic_visible,local_patch_drift,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_062_prefix5_anchored_dc458b2cf487d8_wrong_camera_motion_local_patch_drift.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_patch_drift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=46.0; sharpness_ratio=1.0
v10_TypeM_063_v6_04204_containment_orbit_left_44_seed43204_foreground_identity_color_shift,TypeM_v10_synthetic_visible,foreground_identity_color_shift,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_063_v6_04204_containment_orbit_left_44_seed43204_foreground_identity_color_shift.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,foreground_identity_color_shift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=74.0; sharpness_ratio=1.0
v10_TypeM_064_01002_drop_orbit_left_72_seed40002_local_temporal_jump,TypeM_v10_synthetic_visible,local_temporal_jump,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_064_01002_drop_orbit_left_72_seed40002_local_temporal_jump.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_temporal_jump creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=117.0; sharpness_ratio=1.188245
v10_TypeM_065_01008_drop_orbit_left_72_seed40008_local_patch_freeze,TypeM_v10_synthetic_visible,local_patch_freeze,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_065_01008_drop_orbit_left_72_seed40008_local_patch_freeze.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_patch_freeze creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=83.0; sharpness_ratio=1.01247
v10_TypeM_066_01013_drop_orbit_left_72_seed40013_local_patch_drift,TypeM_v10_synthetic_visible,local_patch_drift,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_066_01013_drop_orbit_left_72_seed40013_local_patch_drift.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_patch_drift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=131.0; sharpness_ratio=1.025624
v10_TypeM_067_01014_drop_orbit_left_72_seed40014_foreground_identity_color_shift,TypeM_v10_synthetic_visible,foreground_identity_color_shift,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_067_01014_drop_orbit_left_72_seed40014_foreground_identity_color_shift.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,foreground_identity_color_shift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=113.0; sharpness_ratio=0.995469
v10_TypeM_069_01029_drop_orbit_left_72_seed40029_local_patch_freeze,TypeM_v10_synthetic_visible,local_patch_freeze,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_069_01029_drop_orbit_left_72_seed40029_local_patch_freeze.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_patch_freeze creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=103.0; sharpness_ratio=1.035554
