pair_id,failure_type,pair_type,pair_source,rank_within_failure
v11_SYN_0417_01032_drop_orbit_left_72_seed40032_local_scene_patch_drift,local_scene_patch_drift,TypeM_v11_synthetic_visible,synthetic_controlled,1
v11_SYN_EXTRA_0080_02366_collision_orbit_right_64_seed41366_local_scene_patch_drift,local_scene_patch_drift,TypeM_v11_synthetic_visible,synthetic_controlled,2
v11_SYN_EXTRA_0028_02239_collision_strafe_left_180_seed41239_local_scene_patch_drift,local_scene_patch_drift,TypeM_v11_synthetic_visible,synthetic_controlled,3
v11_SYN_0076_02288_collision_orbit_right_64_seed41288_local_scene_patch_drift,local_scene_patch_drift,TypeM_v11_synthetic_visible,synthetic_controlled,4
v11_SYN_0031_02228_collision_orbit_right_64_seed41228_collision_response_failure_synthetic,collision_response_failure_synthetic,TypeM_v11_synthetic_visible,synthetic_controlled,1
v11_SYN_0043_02259_collision_strafe_left_180_seed41259_collision_response_failure_synthetic,collision_response_failure_synthetic,TypeM_v11_synthetic_visible,synthetic_controlled,2
v11_SYN_0091_02327_collision_strafe_left_180_seed41327_collision_response_failure_synthetic,collision_response_failure_synthetic,TypeM_v11_synthetic_visible,synthetic_controlled,3
v11_SYN_EXTRA_0069_02353_collision_strafe_left_180_seed41353_collision_response_failure_synthetic,collision_response_failure_synthetic,TypeM_v11_synthetic_visible,synthetic_controlled,4
v11_SYN_EXTRA_0213_04355_containment_orbit_left_44_seed43355_containment_failure_synthetic,containment_failure_synthetic,TypeM_v11_synthetic_visible,synthetic_controlled,1
v11_SYN_EXTRA_0197_04339_containment_orbit_left_44_seed43339_containment_failure_synthetic,containment_failure_synthetic,TypeM_v11_synthetic_visible,synthetic_controlled,2
v11_SYN_0343_prefix5_anchored_29df7c5cf94c4b_reobserve_mismatch_containment_failure_synthetic,containment_failure_synthetic,TypeM_v11_synthetic_visible,synthetic_controlled,3
v11_SYN_EXTRA_0221_04358_containment_orbit_left_44_seed43358_containment_failure_synthetic,containment_failure_synthetic,TypeM_v11_synthetic_visible,synthetic_controlled,4
v11_SYN_0457_01101_drop_orbit_left_72_seed40101_drop_motion_failure_synthetic,drop_motion_failure_synthetic,TypeM_v11_synthetic_visible,synthetic_controlled,1
v11_SYN_0433_01047_drop_orbit_left_72_seed40047_drop_motion_failure_synthetic,drop_motion_failure_synthetic,TypeM_v11_synthetic_visible,synthetic_controlled,2
v11_SYN_0415_01032_drop_orbit_left_72_seed40032_drop_motion_failure_synthetic,drop_motion_failure_synthetic,TypeM_v11_synthetic_visible,synthetic_controlled,3
v11_SYN_0439_01060_drop_orbit_left_72_seed40060_drop_motion_failure_synthetic,drop_motion_failure_synthetic,TypeM_v11_synthetic_visible,synthetic_controlled,4
v11_SYN_0583_03536_roll_orbit_right_60_seed42536_roll_event_fragment_synthetic,roll_event_fragment_synthetic,TypeM_v11_synthetic_visible,synthetic_controlled,1
v11_SYN_0505_03435_roll_orbit_right_60_seed42435_roll_event_fragment_synthetic,roll_event_fragment_synthetic,TypeM_v11_synthetic_visible,synthetic_controlled,2
v11_SYN_0493_03413_roll_orbit_right_60_seed42413_roll_event_fragment_synthetic,roll_event_fragment_synthetic,TypeM_v11_synthetic_visible,synthetic_controlled,3
v11_SYN_0517_03440_roll_orbit_right_60_seed42440_roll_event_fragment_synthetic,roll_event_fragment_synthetic,TypeM_v11_synthetic_visible,synthetic_controlled,4
v10_TypeM_058_prefix5_anchored_29df7c5cf94c4b_reobserve_mismatch_local_patch_drift,local_patch_drift,TypeM_v10_synthetic_visible,,1
v10_TypeM_054_04355_containment_orbit_left_44_seed43355_local_patch_drift,local_patch_drift,TypeM_v10_synthetic_visible,,2
v10_TypeM_070_01032_drop_orbit_left_72_seed40032_local_patch_drift,local_patch_drift,TypeM_v10_synthetic_visible,,3
v10_TypeM_010_02276_collision_orbit_right_64_seed41276_local_patch_drift,local_patch_drift,TypeM_v10_synthetic_visible,,4
v10_TypeM_065_01008_drop_orbit_left_72_seed40008_local_patch_freeze,local_patch_freeze,TypeM_v10_synthetic_visible,,1
v10_TypeM_009_02262_collision_orbit_right_64_seed41262_local_patch_freeze,local_patch_freeze,TypeM_v10_synthetic_visible,,2
v10_TypeM_013_02288_collision_orbit_right_64_seed41288_local_patch_freeze,local_patch_freeze,TypeM_v10_synthetic_visible,,3
v10_TypeM_057_prefix5_anchored_1279c3b65a6d9e_object_identity_change_local_patch_freeze,local_patch_freeze,TypeM_v10_synthetic_visible,,4
v10_TypeM_080_v6b_GT_C_001_01014_drop_orbit_left_72_seed40014_local_temporal_jump,local_temporal_jump,TypeM_v10_synthetic_visible,,1
v10_TypeM_044_04252_containment_orbit_left_44_seed43252_local_temporal_jump,local_temporal_jump,TypeM_v10_synthetic_visible,,2
v10_TypeM_040_04228_containment_orbit_left_44_seed43228_local_temporal_jump,local_temporal_jump,TypeM_v10_synthetic_visible,,3
v10_TypeM_056_04358_containment_orbit_left_44_seed43358_local_temporal_jump,local_temporal_jump,TypeM_v10_synthetic_visible,,4
v6b_GT_C_005_04209_containment_orbit_left_44_seed43209,containment_failure,GT_C,,1
v6b_GT_C_004_04204_containment_orbit_left_44_seed43204,containment_failure,GT_C,,2
v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,containment_failure,GT_C,,3
v6b_GT_C_011_02276_collision_orbit_right_64_seed41276,collision_event_failure,GT_C,,1
v11_SYN_0055_02276_collision_orbit_right_64_seed41276_collision_response_failure_synthetic,collision_response_failure_synthetic,TypeM_v11_synthetic_visible,synthetic_controlled,fallback
v11_SYN_0251_04248_containment_orbit_left_44_seed43248_partial_freeze_foreground,partial_freeze_foreground,TypeM_v11_synthetic_visible,synthetic_controlled,fallback
v11_SYN_EXTRA_0149_04209_containment_orbit_left_44_seed43209_containment_failure_synthetic,containment_failure_synthetic,TypeM_v11_synthetic_visible,synthetic_controlled,fallback
v11_SYN_0126_02378_collision_orbit_right_64_seed41378_object_identity_color_shift,object_identity_color_shift,TypeM_v11_synthetic_visible,synthetic_controlled,fallback
v11_SYN_EXTRA_0158_04228_containment_orbit_left_44_seed43228_reobserve_mismatch_visible,reobserve_mismatch_visible,TypeM_v11_synthetic_visible,synthetic_controlled,fallback
v11_SYN_0447_01079_drop_orbit_left_72_seed40079_local_scene_patch_drift,local_scene_patch_drift,TypeM_v11_synthetic_visible,synthetic_controlled,fallback
v11_SYN_0209_v6_02222_collision_orbit_right_64_seed41222_background_drift_visible,background_drift_visible,TypeM_v11_synthetic_visible,synthetic_controlled,fallback
v11_SYN_0450_01079_drop_orbit_left_72_seed40079_wrong_camera_motion_visible,wrong_camera_motion_visible,TypeM_v11_synthetic_visible,synthetic_controlled,fallback
v10_TypeM_075_01079_drop_orbit_left_72_seed40079_foreground_identity_color_shift,foreground_identity_color_shift,TypeM_v10_synthetic_visible,,fallback
v11_SYN_EXTRA_0095_prefix5_anchored_1ca3412d8f73c8_nonrigid_background_warp_object_duplicate_or_fragment,object_duplicate_or_fragment,TypeM_v11_synthetic_visible,synthetic_controlled,fallback
v11_SYN_0379_01002_drop_orbit_left_72_seed40002_drop_motion_failure_synthetic,drop_motion_failure_synthetic,TypeM_v11_synthetic_visible,synthetic_controlled,fallback
v10_TypeM_066_01013_drop_orbit_left_72_seed40013_local_patch_drift,local_patch_drift,TypeM_v10_synthetic_visible,,fallback
v11_SYN_0595_03544_roll_orbit_right_60_seed42544_roll_event_fragment_synthetic,roll_event_fragment_synthetic,TypeM_v11_synthetic_visible,synthetic_controlled,fallback
v11_SYN_EXTRA_0018_02226_collision_orbit_right_64_seed41226_object_deformation_visible,object_deformation_visible,TypeM_v11_synthetic_visible,synthetic_controlled,fallback
v10_TypeM_053_04351_containment_orbit_left_44_seed43351_local_patch_freeze,local_patch_freeze,TypeM_v10_synthetic_visible,,fallback
v10_TypeM_004_02222_collision_orbit_right_64_seed41222_local_temporal_jump,local_temporal_jump,TypeM_v10_synthetic_visible,,fallback
v6b_GT_C_016_04249_containment_orbit_left_44_seed43249,containment_extra_objects,GT_C,,fallback
v6b_GT_C_008_01029_drop_orbit_left_72_seed40029,foreground_identity_extra_objects,GT_C,,fallback
v6b_GT_C_013_03435_roll_orbit_right_60_seed42435,roll_identity_event,GT_C,,fallback
v6b_GT_C_012_02284_collision_orbit_right_64_seed41284,collision_extra_objects,GT_C,,fallback
v6b_GT_C_001_01014_drop_orbit_left_72_seed40014,event_extra_objects,GT_C,,fallback
v6b_GT_C_002_03410_roll_orbit_right_60_seed42410,event_missing_or_fragments,GT_C,,fallback
v6b_GT_C_006_04214_containment_orbit_left_44_seed43214,foreground_identity_event,GT_C,,fallback
v6b_GT_C_003_03418_roll_orbit_right_60_seed42418,physical_event_fragments,GT_C,,fallback
