sample_id,clip_path,template,camera_id,seed
04263_containment_orbit_left_44_seed43263,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04263_containment_orbit_left_44_seed43263,containment,orbit_left_44,43263
01086_drop_orbit_left_72_seed40086,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01086_drop_orbit_left_72_seed40086,drop,orbit_left_72,40086
03504_roll_orbit_right_60_seed42504,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03504_roll_orbit_right_60_seed42504,roll,orbit_right_60,42504
01122_drop_orbit_left_72_seed40122,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01122_drop_orbit_left_72_seed40122,drop,orbit_left_72,40122
03065_collision_strafe_left_180_seed42065,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03065_collision_strafe_left_180_seed42065,collision,strafe_left_180,42065
02966_collision_orbit_right_64_seed41966,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02966_collision_orbit_right_64_seed41966,collision,orbit_right_64,41966
03539_roll_orbit_right_60_seed42539,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03539_roll_orbit_right_60_seed42539,roll,orbit_right_60,42539
02358_collision_orbit_right_64_seed41358,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02358_collision_orbit_right_64_seed41358,collision,orbit_right_64,41358
02741_collision_strafe_left_180_seed41741,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02741_collision_strafe_left_180_seed41741,collision,strafe_left_180,41741
01572_drop_orbit_left_72_seed40572,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01572_drop_orbit_left_72_seed40572,drop,orbit_left_72,40572
01421_drop_orbit_left_72_seed40421,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01421_drop_orbit_left_72_seed40421,drop,orbit_left_72,40421
03126_collision_orbit_right_64_seed42126,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03126_collision_orbit_right_64_seed42126,collision,orbit_right_64,42126
02870_collision_orbit_right_64_seed41870,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02870_collision_orbit_right_64_seed41870,collision,orbit_right_64,41870
03119_collision_strafe_left_180_seed42119,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03119_collision_strafe_left_180_seed42119,collision,strafe_left_180,42119
02879_collision_strafe_left_180_seed41879,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02879_collision_strafe_left_180_seed41879,collision,strafe_left_180,41879
02792_collision_orbit_right_64_seed41792,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02792_collision_orbit_right_64_seed41792,collision,orbit_right_64,41792
01599_drop_orbit_left_72_seed40599,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01599_drop_orbit_left_72_seed40599,drop,orbit_left_72,40599
02035_drop_orbit_left_72_seed41035,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02035_drop_orbit_left_72_seed41035,drop,orbit_left_72,41035
01962_drop_orbit_left_72_seed40962,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01962_drop_orbit_left_72_seed40962,drop,orbit_left_72,40962
02826_collision_orbit_right_64_seed41826,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02826_collision_orbit_right_64_seed41826,collision,orbit_right_64,41826
02240_collision_orbit_right_64_seed41240,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02240_collision_orbit_right_64_seed41240,collision,orbit_right_64,41240
01087_drop_orbit_left_72_seed40087,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01087_drop_orbit_left_72_seed40087,drop,orbit_left_72,40087
01316_drop_orbit_left_72_seed40316,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01316_drop_orbit_left_72_seed40316,drop,orbit_left_72,40316
03857_roll_orbit_right_60_seed42857,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03857_roll_orbit_right_60_seed42857,roll,orbit_right_60,42857
04260_containment_orbit_left_44_seed43260,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04260_containment_orbit_left_44_seed43260,containment,orbit_left_44,43260
03151_collision_strafe_left_180_seed42151,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03151_collision_strafe_left_180_seed42151,collision,strafe_left_180,42151
01823_drop_orbit_left_72_seed40823,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01823_drop_orbit_left_72_seed40823,drop,orbit_left_72,40823
02990_collision_orbit_right_64_seed41990,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02990_collision_orbit_right_64_seed41990,collision,orbit_right_64,41990
01125_drop_orbit_left_72_seed40125,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01125_drop_orbit_left_72_seed40125,drop,orbit_left_72,40125
01615_drop_orbit_left_72_seed40615,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01615_drop_orbit_left_72_seed40615,drop,orbit_left_72,40615
02634_collision_orbit_right_64_seed41634,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02634_collision_orbit_right_64_seed41634,collision,orbit_right_64,41634
01199_drop_orbit_left_72_seed40199,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01199_drop_orbit_left_72_seed40199,drop,orbit_left_72,40199
04313_containment_orbit_left_44_seed43313,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04313_containment_orbit_left_44_seed43313,containment,orbit_left_44,43313
03880_roll_orbit_right_60_seed42880,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03880_roll_orbit_right_60_seed42880,roll,orbit_right_60,42880
01280_drop_orbit_left_72_seed40280,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01280_drop_orbit_left_72_seed40280,drop,orbit_left_72,40280
03969_roll_orbit_right_60_seed42969,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03969_roll_orbit_right_60_seed42969,roll,orbit_right_60,42969
01809_drop_orbit_left_72_seed40809,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01809_drop_orbit_left_72_seed40809,drop,orbit_left_72,40809
03920_roll_orbit_right_60_seed42920,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03920_roll_orbit_right_60_seed42920,roll,orbit_right_60,42920
03377_collision_strafe_left_180_seed42377,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03377_collision_strafe_left_180_seed42377,collision,strafe_left_180,42377
01529_drop_orbit_left_72_seed40529,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01529_drop_orbit_left_72_seed40529,drop,orbit_left_72,40529
02636_collision_orbit_right_64_seed41636,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02636_collision_orbit_right_64_seed41636,collision,orbit_right_64,41636
01984_drop_orbit_left_72_seed40984,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01984_drop_orbit_left_72_seed40984,drop,orbit_left_72,40984
01192_drop_orbit_left_72_seed40192,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01192_drop_orbit_left_72_seed40192,drop,orbit_left_72,40192
02962_collision_orbit_right_64_seed41962,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02962_collision_orbit_right_64_seed41962,collision,orbit_right_64,41962
02259_collision_strafe_left_180_seed41259,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02259_collision_strafe_left_180_seed41259,collision,strafe_left_180,41259
01397_drop_orbit_left_72_seed40397,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01397_drop_orbit_left_72_seed40397,drop,orbit_left_72,40397
02523_collision_strafe_left_180_seed41523,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02523_collision_strafe_left_180_seed41523,collision,strafe_left_180,41523
02136_drop_orbit_left_72_seed41136,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02136_drop_orbit_left_72_seed41136,drop,orbit_left_72,41136
01602_drop_orbit_left_72_seed40602,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01602_drop_orbit_left_72_seed40602,drop,orbit_left_72,40602
03139_collision_strafe_left_180_seed42139,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03139_collision_strafe_left_180_seed42139,collision,strafe_left_180,42139
03451_roll_orbit_right_60_seed42451,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03451_roll_orbit_right_60_seed42451,roll,orbit_right_60,42451
03264_collision_orbit_right_64_seed42264,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03264_collision_orbit_right_64_seed42264,collision,orbit_right_64,42264
02584_collision_orbit_right_64_seed41584,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02584_collision_orbit_right_64_seed41584,collision,orbit_right_64,41584
01824_drop_orbit_left_72_seed40824,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01824_drop_orbit_left_72_seed40824,drop,orbit_left_72,40824
03676_roll_orbit_right_60_seed42676,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03676_roll_orbit_right_60_seed42676,roll,orbit_right_60,42676
04324_containment_orbit_left_44_seed43324,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04324_containment_orbit_left_44_seed43324,containment,orbit_left_44,43324
03259_collision_strafe_left_180_seed42259,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03259_collision_strafe_left_180_seed42259,collision,strafe_left_180,42259
03449_roll_orbit_right_60_seed42449,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03449_roll_orbit_right_60_seed42449,roll,orbit_right_60,42449
03309_collision_strafe_left_180_seed42309,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03309_collision_strafe_left_180_seed42309,collision,strafe_left_180,42309
02926_collision_orbit_right_64_seed41926,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02926_collision_orbit_right_64_seed41926,collision,orbit_right_64,41926
03327_collision_strafe_left_180_seed42327,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03327_collision_strafe_left_180_seed42327,collision,strafe_left_180,42327
03324_collision_orbit_right_64_seed42324,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03324_collision_orbit_right_64_seed42324,collision,orbit_right_64,42324
04338_containment_orbit_left_44_seed43338,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04338_containment_orbit_left_44_seed43338,containment,orbit_left_44,43338
03925_roll_orbit_right_60_seed42925,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03925_roll_orbit_right_60_seed42925,roll,orbit_right_60,42925
01889_drop_orbit_left_72_seed40889,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01889_drop_orbit_left_72_seed40889,drop,orbit_left_72,40889
02019_drop_orbit_left_72_seed41019,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02019_drop_orbit_left_72_seed41019,drop,orbit_left_72,41019
01242_drop_orbit_left_72_seed40242,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01242_drop_orbit_left_72_seed40242,drop,orbit_left_72,40242
01565_drop_orbit_left_72_seed40565,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01565_drop_orbit_left_72_seed40565,drop,orbit_left_72,40565
03736_roll_orbit_right_60_seed42736,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03736_roll_orbit_right_60_seed42736,roll,orbit_right_60,42736
02681_collision_strafe_left_180_seed41681,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02681_collision_strafe_left_180_seed41681,collision,strafe_left_180,41681
01863_drop_orbit_left_72_seed40863,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01863_drop_orbit_left_72_seed40863,drop,orbit_left_72,40863
02494_collision_orbit_right_64_seed41494,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02494_collision_orbit_right_64_seed41494,collision,orbit_right_64,41494
03540_roll_orbit_right_60_seed42540,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03540_roll_orbit_right_60_seed42540,roll,orbit_right_60,42540
01232_drop_orbit_left_72_seed40232,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01232_drop_orbit_left_72_seed40232,drop,orbit_left_72,40232
02867_collision_strafe_left_180_seed41867,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02867_collision_strafe_left_180_seed41867,collision,strafe_left_180,41867
03735_roll_orbit_right_60_seed42735,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03735_roll_orbit_right_60_seed42735,roll,orbit_right_60,42735
03569_roll_orbit_right_60_seed42569,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03569_roll_orbit_right_60_seed42569,roll,orbit_right_60,42569
02415_collision_strafe_left_180_seed41415,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02415_collision_strafe_left_180_seed41415,collision,strafe_left_180,41415
03674_roll_orbit_right_60_seed42674,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03674_roll_orbit_right_60_seed42674,roll,orbit_right_60,42674
01803_drop_orbit_left_72_seed40803,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01803_drop_orbit_left_72_seed40803,drop,orbit_left_72,40803
01213_drop_orbit_left_72_seed40213,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01213_drop_orbit_left_72_seed40213,drop,orbit_left_72,40213
02580_collision_orbit_right_64_seed41580,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02580_collision_orbit_right_64_seed41580,collision,orbit_right_64,41580
04046_roll_orbit_right_60_seed43046,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04046_roll_orbit_right_60_seed43046,roll,orbit_right_60,43046
03242_collision_orbit_right_64_seed42242,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03242_collision_orbit_right_64_seed42242,collision,orbit_right_64,42242
02762_collision_orbit_right_64_seed41762,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02762_collision_orbit_right_64_seed41762,collision,orbit_right_64,41762
02014_drop_orbit_left_72_seed41014,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02014_drop_orbit_left_72_seed41014,drop,orbit_left_72,41014
01445_drop_orbit_left_72_seed40445,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01445_drop_orbit_left_72_seed40445,drop,orbit_left_72,40445
02487_collision_strafe_left_180_seed41487,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02487_collision_strafe_left_180_seed41487,collision,strafe_left_180,41487
02330_collision_orbit_right_64_seed41330,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02330_collision_orbit_right_64_seed41330,collision,orbit_right_64,41330
03241_collision_strafe_left_180_seed42241,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03241_collision_strafe_left_180_seed42241,collision,strafe_left_180,42241
03803_roll_orbit_right_60_seed42803,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03803_roll_orbit_right_60_seed42803,roll,orbit_right_60,42803
02766_collision_orbit_right_64_seed41766,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02766_collision_orbit_right_64_seed41766,collision,orbit_right_64,41766
03667_roll_orbit_right_60_seed42667,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03667_roll_orbit_right_60_seed42667,roll,orbit_right_60,42667
04019_roll_orbit_right_60_seed43019,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04019_roll_orbit_right_60_seed43019,roll,orbit_right_60,43019
02873_collision_strafe_left_180_seed41873,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02873_collision_strafe_left_180_seed41873,collision,strafe_left_180,41873
02506_collision_orbit_right_64_seed41506,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02506_collision_orbit_right_64_seed41506,collision,orbit_right_64,41506
03673_roll_orbit_right_60_seed42673,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03673_roll_orbit_right_60_seed42673,roll,orbit_right_60,42673
03072_collision_orbit_right_64_seed42072,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03072_collision_orbit_right_64_seed42072,collision,orbit_right_64,42072
01353_drop_orbit_left_72_seed40353,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01353_drop_orbit_left_72_seed40353,drop,orbit_left_72,40353
02984_collision_orbit_right_64_seed41984,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02984_collision_orbit_right_64_seed41984,collision,orbit_right_64,41984
01490_drop_orbit_left_72_seed40490,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01490_drop_orbit_left_72_seed40490,drop,orbit_left_72,40490
02991_collision_strafe_left_180_seed41991,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02991_collision_strafe_left_180_seed41991,collision,strafe_left_180,41991
02382_collision_orbit_right_64_seed41382,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02382_collision_orbit_right_64_seed41382,collision,orbit_right_64,41382
03022_collision_orbit_right_64_seed42022,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03022_collision_orbit_right_64_seed42022,collision,orbit_right_64,42022
03167_collision_strafe_left_180_seed42167,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03167_collision_strafe_left_180_seed42167,collision,strafe_left_180,42167
01589_drop_orbit_left_72_seed40589,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01589_drop_orbit_left_72_seed40589,drop,orbit_left_72,40589
01948_drop_orbit_left_72_seed40948,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01948_drop_orbit_left_72_seed40948,drop,orbit_left_72,40948
03951_roll_orbit_right_60_seed42951,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03951_roll_orbit_right_60_seed42951,roll,orbit_right_60,42951
02846_collision_orbit_right_64_seed41846,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02846_collision_orbit_right_64_seed41846,collision,orbit_right_64,41846
04302_containment_orbit_left_44_seed43302,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04302_containment_orbit_left_44_seed43302,containment,orbit_left_44,43302
02401_collision_strafe_left_180_seed41401,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02401_collision_strafe_left_180_seed41401,collision,strafe_left_180,41401
04242_containment_orbit_left_44_seed43242,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04242_containment_orbit_left_44_seed43242,containment,orbit_left_44,43242
03752_roll_orbit_right_60_seed42752,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03752_roll_orbit_right_60_seed42752,roll,orbit_right_60,42752
