pair_id,condition_id,failure_type,severity,loser_video_path,status
v11_SYN_EXTRA_0011_02215_collision_strafe_left_180_seed41215_object_duplicate_or_fragment,02215_collision_strafe_left_180_seed41215,object_duplicate_or_fragment,0.767,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0011_02215_collision_strafe_left_180_seed41215_object_duplicate_or_fragment/loser_future.mp4,generated
v11_SYN_EXTRA_0012_02215_collision_strafe_left_180_seed41215_local_scene_patch_drift,02215_collision_strafe_left_180_seed41215,local_scene_patch_drift,0.808,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0012_02215_collision_strafe_left_180_seed41215_local_scene_patch_drift/loser_future.mp4,generated
v11_SYN_EXTRA_0013_02222_collision_orbit_right_64_seed41222_collision_response_failure_synthetic,19fca32ea8850d8171e9d24ffeaf03ea61694a23c026a9ab7b92ff61f3c61485,collision_response_failure_synthetic,0.725,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0013_02222_collision_orbit_right_64_seed41222_collision_response_failure_synthetic/loser_future.mp4,generated
v11_SYN_EXTRA_0014_02222_collision_orbit_right_64_seed41222_object_deformation_visible,19fca32ea8850d8171e9d24ffeaf03ea61694a23c026a9ab7b92ff61f3c61485,object_deformation_visible,0.767,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0014_02222_collision_orbit_right_64_seed41222_object_deformation_visible/loser_future.mp4,generated
v11_SYN_EXTRA_0015_02222_collision_orbit_right_64_seed41222_object_duplicate_or_fragment,19fca32ea8850d8171e9d24ffeaf03ea61694a23c026a9ab7b92ff61f3c61485,object_duplicate_or_fragment,0.808,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0015_02222_collision_orbit_right_64_seed41222_object_duplicate_or_fragment/loser_future.mp4,generated
v11_SYN_EXTRA_0016_02222_collision_orbit_right_64_seed41222_local_scene_patch_drift,19fca32ea8850d8171e9d24ffeaf03ea61694a23c026a9ab7b92ff61f3c61485,local_scene_patch_drift,0.85,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0016_02222_collision_orbit_right_64_seed41222_local_scene_patch_drift/loser_future.mp4,generated
v11_SYN_EXTRA_0017_02226_collision_orbit_right_64_seed41226_collision_response_failure_synthetic,1cbeaad951cb1cf61abfeec4304bcdcf82c3013ecb9e22df3497c7ee5a143dbe,collision_response_failure_synthetic,0.767,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0017_02226_collision_orbit_right_64_seed41226_collision_response_failure_synthetic/loser_future.mp4,generated
v11_SYN_EXTRA_0018_02226_collision_orbit_right_64_seed41226_object_deformation_visible,1cbeaad951cb1cf61abfeec4304bcdcf82c3013ecb9e22df3497c7ee5a143dbe,object_deformation_visible,0.808,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0018_02226_collision_orbit_right_64_seed41226_object_deformation_visible/loser_future.mp4,generated
v11_SYN_EXTRA_0019_02226_collision_orbit_right_64_seed41226_object_duplicate_or_fragment,1cbeaad951cb1cf61abfeec4304bcdcf82c3013ecb9e22df3497c7ee5a143dbe,object_duplicate_or_fragment,0.85,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0019_02226_collision_orbit_right_64_seed41226_object_duplicate_or_fragment/loser_future.mp4,generated
v11_SYN_EXTRA_0020_02226_collision_orbit_right_64_seed41226_local_scene_patch_drift,1cbeaad951cb1cf61abfeec4304bcdcf82c3013ecb9e22df3497c7ee5a143dbe,local_scene_patch_drift,0.6,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0020_02226_collision_orbit_right_64_seed41226_local_scene_patch_drift/loser_future.mp4,generated
v11_SYN_EXTRA_0021_02228_collision_orbit_right_64_seed41228_collision_response_failure_synthetic,02228_collision_orbit_right_64_seed41228,collision_response_failure_synthetic,0.808,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0021_02228_collision_orbit_right_64_seed41228_collision_response_failure_synthetic/loser_future.mp4,generated
v11_SYN_EXTRA_0022_02228_collision_orbit_right_64_seed41228_object_deformation_visible,02228_collision_orbit_right_64_seed41228,object_deformation_visible,0.85,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0022_02228_collision_orbit_right_64_seed41228_object_deformation_visible/loser_future.mp4,generated
v11_SYN_EXTRA_0023_02228_collision_orbit_right_64_seed41228_object_duplicate_or_fragment,02228_collision_orbit_right_64_seed41228,object_duplicate_or_fragment,0.6,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0023_02228_collision_orbit_right_64_seed41228_object_duplicate_or_fragment/loser_future.mp4,generated
v11_SYN_EXTRA_0024_02228_collision_orbit_right_64_seed41228_local_scene_patch_drift,02228_collision_orbit_right_64_seed41228,local_scene_patch_drift,0.642,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0024_02228_collision_orbit_right_64_seed41228_local_scene_patch_drift/loser_future.mp4,generated
v11_SYN_EXTRA_0025_02239_collision_strafe_left_180_seed41239_collision_response_failure_synthetic,02239_collision_strafe_left_180_seed41239,collision_response_failure_synthetic,0.85,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0025_02239_collision_strafe_left_180_seed41239_collision_response_failure_synthetic/loser_future.mp4,generated
v11_SYN_EXTRA_0026_02239_collision_strafe_left_180_seed41239_object_deformation_visible,02239_collision_strafe_left_180_seed41239,object_deformation_visible,0.6,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0026_02239_collision_strafe_left_180_seed41239_object_deformation_visible/loser_future.mp4,generated
v11_SYN_EXTRA_0027_02239_collision_strafe_left_180_seed41239_object_duplicate_or_fragment,02239_collision_strafe_left_180_seed41239,object_duplicate_or_fragment,0.642,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0027_02239_collision_strafe_left_180_seed41239_object_duplicate_or_fragment/loser_future.mp4,generated
v11_SYN_EXTRA_0028_02239_collision_strafe_left_180_seed41239_local_scene_patch_drift,02239_collision_strafe_left_180_seed41239,local_scene_patch_drift,0.683,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0028_02239_collision_strafe_left_180_seed41239_local_scene_patch_drift/loser_future.mp4,generated
v11_SYN_EXTRA_0029_02259_collision_strafe_left_180_seed41259_collision_response_failure_synthetic,02259_collision_strafe_left_180_seed41259,collision_response_failure_synthetic,0.6,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0029_02259_collision_strafe_left_180_seed41259_collision_response_failure_synthetic/loser_future.mp4,generated
v11_SYN_EXTRA_0030_02259_collision_strafe_left_180_seed41259_object_deformation_visible,02259_collision_strafe_left_180_seed41259,object_deformation_visible,0.642,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0030_02259_collision_strafe_left_180_seed41259_object_deformation_visible/loser_future.mp4,generated
v11_SYN_EXTRA_0031_02259_collision_strafe_left_180_seed41259_object_duplicate_or_fragment,02259_collision_strafe_left_180_seed41259,object_duplicate_or_fragment,0.683,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0031_02259_collision_strafe_left_180_seed41259_object_duplicate_or_fragment/loser_future.mp4,generated
v11_SYN_EXTRA_0032_02259_collision_strafe_left_180_seed41259_local_scene_patch_drift,02259_collision_strafe_left_180_seed41259,local_scene_patch_drift,0.725,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0032_02259_collision_strafe_left_180_seed41259_local_scene_patch_drift/loser_future.mp4,generated
v11_SYN_EXTRA_0033_02262_collision_orbit_right_64_seed41262_collision_response_failure_synthetic,02262_collision_orbit_right_64_seed41262,collision_response_failure_synthetic,0.642,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0033_02262_collision_orbit_right_64_seed41262_collision_response_failure_synthetic/loser_future.mp4,generated
v11_SYN_EXTRA_0034_02262_collision_orbit_right_64_seed41262_object_deformation_visible,02262_collision_orbit_right_64_seed41262,object_deformation_visible,0.683,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0034_02262_collision_orbit_right_64_seed41262_object_deformation_visible/loser_future.mp4,generated
v11_SYN_EXTRA_0035_02262_collision_orbit_right_64_seed41262_object_duplicate_or_fragment,02262_collision_orbit_right_64_seed41262,object_duplicate_or_fragment,0.725,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0035_02262_collision_orbit_right_64_seed41262_object_duplicate_or_fragment/loser_future.mp4,generated
v11_SYN_EXTRA_0036_02262_collision_orbit_right_64_seed41262_local_scene_patch_drift,02262_collision_orbit_right_64_seed41262,local_scene_patch_drift,0.767,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0036_02262_collision_orbit_right_64_seed41262_local_scene_patch_drift/loser_future.mp4,generated
v11_SYN_EXTRA_0037_02276_collision_orbit_right_64_seed41276_collision_response_failure_synthetic,02276_collision_orbit_right_64_seed41276,collision_response_failure_synthetic,0.683,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0037_02276_collision_orbit_right_64_seed41276_collision_response_failure_synthetic/loser_future.mp4,generated
v11_SYN_EXTRA_0038_02276_collision_orbit_right_64_seed41276_object_deformation_visible,02276_collision_orbit_right_64_seed41276,object_deformation_visible,0.725,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0038_02276_collision_orbit_right_64_seed41276_object_deformation_visible/loser_future.mp4,generated
v11_SYN_EXTRA_0039_02276_collision_orbit_right_64_seed41276_object_duplicate_or_fragment,02276_collision_orbit_right_64_seed41276,object_duplicate_or_fragment,0.767,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0039_02276_collision_orbit_right_64_seed41276_object_duplicate_or_fragment/loser_future.mp4,generated
v11_SYN_EXTRA_0040_02276_collision_orbit_right_64_seed41276_local_scene_patch_drift,02276_collision_orbit_right_64_seed41276,local_scene_patch_drift,0.808,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0040_02276_collision_orbit_right_64_seed41276_local_scene_patch_drift/loser_future.mp4,generated
v11_SYN_EXTRA_0041_02284_collision_orbit_right_64_seed41284_collision_response_failure_synthetic,02284_collision_orbit_right_64_seed41284,collision_response_failure_synthetic,0.725,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0041_02284_collision_orbit_right_64_seed41284_collision_response_failure_synthetic/loser_future.mp4,generated
v11_SYN_EXTRA_0042_02284_collision_orbit_right_64_seed41284_object_deformation_visible,02284_collision_orbit_right_64_seed41284,object_deformation_visible,0.767,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0042_02284_collision_orbit_right_64_seed41284_object_deformation_visible/loser_future.mp4,generated
v11_SYN_EXTRA_0043_02284_collision_orbit_right_64_seed41284_object_duplicate_or_fragment,02284_collision_orbit_right_64_seed41284,object_duplicate_or_fragment,0.808,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0043_02284_collision_orbit_right_64_seed41284_object_duplicate_or_fragment/loser_future.mp4,generated
v11_SYN_EXTRA_0044_02284_collision_orbit_right_64_seed41284_local_scene_patch_drift,02284_collision_orbit_right_64_seed41284,local_scene_patch_drift,0.85,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0044_02284_collision_orbit_right_64_seed41284_local_scene_patch_drift/loser_future.mp4,generated
v11_SYN_EXTRA_0045_02286_collision_orbit_right_64_seed41286_collision_response_failure_synthetic,02286_collision_orbit_right_64_seed41286,collision_response_failure_synthetic,0.767,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0045_02286_collision_orbit_right_64_seed41286_collision_response_failure_synthetic/loser_future.mp4,generated
v11_SYN_EXTRA_0046_02286_collision_orbit_right_64_seed41286_object_deformation_visible,02286_collision_orbit_right_64_seed41286,object_deformation_visible,0.808,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0046_02286_collision_orbit_right_64_seed41286_object_deformation_visible/loser_future.mp4,generated
v11_SYN_EXTRA_0047_02286_collision_orbit_right_64_seed41286_object_duplicate_or_fragment,02286_collision_orbit_right_64_seed41286,object_duplicate_or_fragment,0.85,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0047_02286_collision_orbit_right_64_seed41286_object_duplicate_or_fragment/loser_future.mp4,generated
v11_SYN_EXTRA_0048_02286_collision_orbit_right_64_seed41286_local_scene_patch_drift,02286_collision_orbit_right_64_seed41286,local_scene_patch_drift,0.6,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0048_02286_collision_orbit_right_64_seed41286_local_scene_patch_drift/loser_future.mp4,generated
v11_SYN_EXTRA_0049_02288_collision_orbit_right_64_seed41288_collision_response_failure_synthetic,02288_collision_orbit_right_64_seed41288,collision_response_failure_synthetic,0.808,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0049_02288_collision_orbit_right_64_seed41288_collision_response_failure_synthetic/loser_future.mp4,generated
v11_SYN_EXTRA_0050_02288_collision_orbit_right_64_seed41288_object_deformation_visible,02288_collision_orbit_right_64_seed41288,object_deformation_visible,0.85,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0050_02288_collision_orbit_right_64_seed41288_object_deformation_visible/loser_future.mp4,generated
v11_SYN_EXTRA_0051_02288_collision_orbit_right_64_seed41288_object_duplicate_or_fragment,02288_collision_orbit_right_64_seed41288,object_duplicate_or_fragment,0.6,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0051_02288_collision_orbit_right_64_seed41288_object_duplicate_or_fragment/loser_future.mp4,generated
v11_SYN_EXTRA_0052_02288_collision_orbit_right_64_seed41288_local_scene_patch_drift,02288_collision_orbit_right_64_seed41288,local_scene_patch_drift,0.642,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0052_02288_collision_orbit_right_64_seed41288_local_scene_patch_drift/loser_future.mp4,generated
v11_SYN_EXTRA_0053_02292_collision_orbit_right_64_seed41292_collision_response_failure_synthetic,02292_collision_orbit_right_64_seed41292,collision_response_failure_synthetic,0.85,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0053_02292_collision_orbit_right_64_seed41292_collision_response_failure_synthetic/loser_future.mp4,generated
v11_SYN_EXTRA_0054_02292_collision_orbit_right_64_seed41292_object_deformation_visible,02292_collision_orbit_right_64_seed41292,object_deformation_visible,0.6,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0054_02292_collision_orbit_right_64_seed41292_object_deformation_visible/loser_future.mp4,generated
v11_SYN_EXTRA_0055_02292_collision_orbit_right_64_seed41292_object_duplicate_or_fragment,02292_collision_orbit_right_64_seed41292,object_duplicate_or_fragment,0.642,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0055_02292_collision_orbit_right_64_seed41292_object_duplicate_or_fragment/loser_future.mp4,generated
v11_SYN_EXTRA_0056_02292_collision_orbit_right_64_seed41292_local_scene_patch_drift,02292_collision_orbit_right_64_seed41292,local_scene_patch_drift,0.683,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0056_02292_collision_orbit_right_64_seed41292_local_scene_patch_drift/loser_future.mp4,generated
v11_SYN_EXTRA_0057_02295_collision_strafe_left_180_seed41295_collision_response_failure_synthetic,02295_collision_strafe_left_180_seed41295,collision_response_failure_synthetic,0.6,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0057_02295_collision_strafe_left_180_seed41295_collision_response_failure_synthetic/loser_future.mp4,generated
v11_SYN_EXTRA_0058_02295_collision_strafe_left_180_seed41295_object_deformation_visible,02295_collision_strafe_left_180_seed41295,object_deformation_visible,0.642,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0058_02295_collision_strafe_left_180_seed41295_object_deformation_visible/loser_future.mp4,generated
v11_SYN_EXTRA_0059_02295_collision_strafe_left_180_seed41295_object_duplicate_or_fragment,02295_collision_strafe_left_180_seed41295,object_duplicate_or_fragment,0.683,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0059_02295_collision_strafe_left_180_seed41295_object_duplicate_or_fragment/loser_future.mp4,generated
v11_SYN_EXTRA_0060_02295_collision_strafe_left_180_seed41295_local_scene_patch_drift,02295_collision_strafe_left_180_seed41295,local_scene_patch_drift,0.725,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0060_02295_collision_strafe_left_180_seed41295_local_scene_patch_drift/loser_future.mp4,generated
v11_SYN_EXTRA_0061_02327_collision_strafe_left_180_seed41327_collision_response_failure_synthetic,02327_collision_strafe_left_180_seed41327,collision_response_failure_synthetic,0.642,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0061_02327_collision_strafe_left_180_seed41327_collision_response_failure_synthetic/loser_future.mp4,generated
v11_SYN_EXTRA_0062_02327_collision_strafe_left_180_seed41327_object_deformation_visible,02327_collision_strafe_left_180_seed41327,object_deformation_visible,0.683,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0062_02327_collision_strafe_left_180_seed41327_object_deformation_visible/loser_future.mp4,generated
v11_SYN_EXTRA_0063_02327_collision_strafe_left_180_seed41327_object_duplicate_or_fragment,02327_collision_strafe_left_180_seed41327,object_duplicate_or_fragment,0.725,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0063_02327_collision_strafe_left_180_seed41327_object_duplicate_or_fragment/loser_future.mp4,generated
v11_SYN_EXTRA_0064_02327_collision_strafe_left_180_seed41327_local_scene_patch_drift,02327_collision_strafe_left_180_seed41327,local_scene_patch_drift,0.767,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0064_02327_collision_strafe_left_180_seed41327_local_scene_patch_drift/loser_future.mp4,generated
v11_SYN_EXTRA_0065_02328_collision_orbit_right_64_seed41328_collision_response_failure_synthetic,02328_collision_orbit_right_64_seed41328,collision_response_failure_synthetic,0.683,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0065_02328_collision_orbit_right_64_seed41328_collision_response_failure_synthetic/loser_future.mp4,generated
v11_SYN_EXTRA_0066_02328_collision_orbit_right_64_seed41328_object_deformation_visible,02328_collision_orbit_right_64_seed41328,object_deformation_visible,0.725,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0066_02328_collision_orbit_right_64_seed41328_object_deformation_visible/loser_future.mp4,generated
v11_SYN_EXTRA_0067_02328_collision_orbit_right_64_seed41328_object_duplicate_or_fragment,02328_collision_orbit_right_64_seed41328,object_duplicate_or_fragment,0.767,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0067_02328_collision_orbit_right_64_seed41328_object_duplicate_or_fragment/loser_future.mp4,generated
v11_SYN_EXTRA_0068_02328_collision_orbit_right_64_seed41328_local_scene_patch_drift,02328_collision_orbit_right_64_seed41328,local_scene_patch_drift,0.808,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0068_02328_collision_orbit_right_64_seed41328_local_scene_patch_drift/loser_future.mp4,generated
v11_SYN_EXTRA_0069_02353_collision_strafe_left_180_seed41353_collision_response_failure_synthetic,02353_collision_strafe_left_180_seed41353,collision_response_failure_synthetic,0.725,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0069_02353_collision_strafe_left_180_seed41353_collision_response_failure_synthetic/loser_future.mp4,generated
v11_SYN_EXTRA_0070_02353_collision_strafe_left_180_seed41353_object_deformation_visible,02353_collision_strafe_left_180_seed41353,object_deformation_visible,0.767,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0070_02353_collision_strafe_left_180_seed41353_object_deformation_visible/loser_future.mp4,generated
v11_SYN_EXTRA_0071_02353_collision_strafe_left_180_seed41353_object_duplicate_or_fragment,02353_collision_strafe_left_180_seed41353,object_duplicate_or_fragment,0.808,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0071_02353_collision_strafe_left_180_seed41353_object_duplicate_or_fragment/loser_future.mp4,generated
v11_SYN_EXTRA_0072_02353_collision_strafe_left_180_seed41353_local_scene_patch_drift,02353_collision_strafe_left_180_seed41353,local_scene_patch_drift,0.85,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0072_02353_collision_strafe_left_180_seed41353_local_scene_patch_drift/loser_future.mp4,generated
v11_SYN_EXTRA_0073_02360_collision_orbit_right_64_seed41360_collision_response_failure_synthetic,02360_collision_orbit_right_64_seed41360,collision_response_failure_synthetic,0.767,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0073_02360_collision_orbit_right_64_seed41360_collision_response_failure_synthetic/loser_future.mp4,generated
v11_SYN_EXTRA_0074_02360_collision_orbit_right_64_seed41360_object_deformation_visible,02360_collision_orbit_right_64_seed41360,object_deformation_visible,0.808,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0074_02360_collision_orbit_right_64_seed41360_object_deformation_visible/loser_future.mp4,generated
v11_SYN_EXTRA_0075_02360_collision_orbit_right_64_seed41360_object_duplicate_or_fragment,02360_collision_orbit_right_64_seed41360,object_duplicate_or_fragment,0.85,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0075_02360_collision_orbit_right_64_seed41360_object_duplicate_or_fragment/loser_future.mp4,generated
v11_SYN_EXTRA_0076_02360_collision_orbit_right_64_seed41360_local_scene_patch_drift,02360_collision_orbit_right_64_seed41360,local_scene_patch_drift,0.6,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0076_02360_collision_orbit_right_64_seed41360_local_scene_patch_drift/loser_future.mp4,generated
v11_SYN_EXTRA_0077_02366_collision_orbit_right_64_seed41366_collision_response_failure_synthetic,02366_collision_orbit_right_64_seed41366,collision_response_failure_synthetic,0.808,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0077_02366_collision_orbit_right_64_seed41366_collision_response_failure_synthetic/loser_future.mp4,generated
v11_SYN_EXTRA_0078_02366_collision_orbit_right_64_seed41366_object_deformation_visible,02366_collision_orbit_right_64_seed41366,object_deformation_visible,0.85,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0078_02366_collision_orbit_right_64_seed41366_object_deformation_visible/loser_future.mp4,generated
